ReviewID,EmployeeID,ReviewDate,Reviewer,Rating,Score
REV000001,EMP000009,2020-07-06,Department Head,Good,74
REV000001,EMP000009,2025-08-03,Line Manager,Needs Improvement,59
REV000001,EMP000009,2024-06-02,Department Head,Excellent,98
REV000001,EMP000009,2020-11-13,HR Manager,Excellent,97
REV000001,EMP000009,2023-01-22,Department Head,Excellent,95
REV000001,EMP000009,2021-04-04,HR Manager,Very Good,88
REV000001,EMP000009,2021-12-21,Department Head,Very Good,88
REV000001,EMP000010,2019-05-11,Department Head,Needs Improvement,53
REV000001,EMP000010,2024-08-17,Line Manager,Good,76
REV000001,EMP000010,2022-10-24,HR Manager,Good,71
REV000001,EMP000010,2021-12-06,HR Manager,Good,70
REV000001,EMP000010,2019-01-11,Department Head,Good,75
REV000001,EMP000010,2022-07-23,Line Manager,Good,74
REV000001,EMP000010,2020-03-16,Department Head,Good,72
REV000001,EMP000011,2022-07-28,Line Manager,Good,74
REV000001,EMP000011,2021-04-12,HR Manager,Good,77
REV000001,EMP000011,2024-08-04,Line Manager,Good,77
REV000001,EMP000011,2025-08-06,HR Manager,Excellent,90
REV000001,EMP000011,2022-06-13,Department Head,Good,70
REV000001,EMP000011,2019-08-06,Department Head,Good,75
REV000001,EMP000011,2024-07-10,Department Head,Good,78
REV000001,EMP000012,2021-12-22,Line Manager,Good,72
REV000001,EMP000012,2023-09-25,Department Head,Good,79
REV000001,EMP000012,2019-12-24,HR Manager,Good,77
REV000001,EMP000012,2023-02-20,HR Manager,Good,75
REV000001,EMP000012,2021-09-14,Department Head,Needs Improvement,59
REV000001,EMP000012,2020-03-25,HR Manager,Poor,31
REV000001,EMP000012,2019-10-14,Line Manager,Very Good,89
REV000001,EMP000013,2020-12-18,Line Manager,Good,71
REV000001,EMP000013,2019-06-24,Department Head,Good,71
REV000001,EMP000013,2025-06-08,HR Manager,Very Good,80
REV000001,EMP000013,2019-08-10,Department Head,Good,73
REV000001,EMP000013,2020-09-08,HR Manager,Good,76
REV000001,EMP000013,2022-05-02,HR Manager,Very Good,84
REV000001,EMP000013,2024-12-18,Department Head,Good,75
REV000001,EMP000014,2020-01-14,Department Head,Good,70
REV000001,EMP000014,2025-03-12,HR Manager,Good,75
REV000001,EMP000014,2024-10-03,HR Manager,Good,79
REV000001,EMP000014,2024-09-28,HR Manager,Poor,36
REV000001,EMP000014,2024-08-11,Department Head,Very Good,80
REV000001,EMP000014,2020-04-03,Department Head,Excellent,90
REV000001,EMP000014,2022-10-25,HR Manager,Needs Improvement,50
REV000001,EMP000015,2023-03-25,Department Head,Very Good,89
REV000001,EMP000015,2024-07-20,Line Manager,Excellent,99
REV000001,EMP000015,2019-03-22,HR Manager,Good,71
REV000001,EMP000015,2020-06-08,HR Manager,Good,76
REV000001,EMP000015,2021-01-15,Line Manager,VG,75
REV000001,EMP000015,2020-04-28,Department Head,Very Good,84
REV000001,EMP000015,2022-11-10,Line Manager,Very Good,83
REV000001,EMP000016,2025-09-19,Department Head,Good,79
REV000001,EMP000016,2025-11-26,Line Manager,Good,78
REV000001,EMP000016,2023-10-27,HR Manager,Needs Improvement,64
REV000001,EMP000016,2020-08-03,Department Head,Good,77
REV000001,EMP000016,2019-02-19,Department Head,Good,75
REV000001,EMP000016,2025-02-20,Department Head,Good,72
REV000001,EMP000016,2025-03-01,Line Manager,Very Good,84
REV000001,EMP000017,2020-09-20,HR Manager,Very Good,84
REV000001,EMP000017,2021-09-23,Department Head,Good,76
REV000001,EMP000017,2024-08-07,Department Head,Good,77
REV000001,EMP000017,2025-07-28,HR Manager,Good,77
REV000001,EMP000017,2023-07-22,Department Head,Good,73
REV000001,EMP000017,2021-11-12,Line Manager,Good,73
REV000001,EMP000017,2022-08-21,HR Manager,Very Good,82
REV000001,EMP000018,2019-01-12,Department Head,Excellent,100
REV000001,EMP000018,2021-12-24,Department Head,Good,78
REV000001,EMP000018,2020-01-20,HR Manager,Needs Improvement,60
REV000001,EMP000018,2020-06-25,Department Head,Very Good,88
REV000001,EMP000018,2023-07-20,Department Head,Good,75
REV000001,EMP000018,2020-09-02,HR Manager,Excellent,92
REV000001,EMP000018,2022-03-05,Line Manager,Good,72
REV000001,EMP000019,2019-06-12,Department Head,Good,77
REV000001,EMP000019,2023-06-14,Department Head,Good,78
REV000001,EMP000019,2025-06-21,Line Manager,Needs Improvement,67
REV000001,EMP000019,2025-08-11,Department Head,Good,75
REV000001,EMP000019,2023-01-16,Department Head,Very Good,84
REV000001,EMP000019,2019-01-22,HR Manager,Good,74
REV000001,EMP000019,2023-03-22,HR Manager,Good,74
REV000001,EMP000020,2023-06-12,Department Head,Needs Improvement,61
REV000001,EMP000020,2022-08-17,HR Manager,Needs Improvement,65
REV000001,EMP000020,2019-09-13,Department Head,Good,79
REV000001,EMP000020,2021-12-16,Department Head,Good,74
REV000001,EMP000020,2024-02-10,Line Manager,Good,73
REV000001,EMP000020,2021-06-01,HR Manager,Good,76
REV000001,EMP000020,2024-12-20,HR Manager,Good,73
REV000001,EMP000021,2019-02-05,Department Head,Good,71
REV000001,EMP000021,2021-09-09,Department Head,Very Good,88
REV000001,EMP000021,2024-01-23,HR Manager,Good,76
REV000001,EMP000021,2019-10-11,Department Head,Good,73
REV000001,EMP000021,2022-12-09,HR Manager,Needs Improvement,58
REV000001,EMP000021,2023-08-28,Department Head,Very Good,80
REV000001,EMP000021,2023-07-10,Department Head,Very Good,81
REV000001,EMP000022,2022-11-21,Department Head,Very Good,88
REV000001,EMP000022,2022-12-27,HR Manager,Good,75
REV000001,EMP000022,2025-03-26,Department Head,Very Good,83
REV000001,EMP000022,2022-09-28,Line Manager,Good,71
REV000001,EMP000022,2019-07-18,Department Head,Poor,43
REV000001,EMP000022,2021-04-14,HR Manager,Good,73
REV000001,EMP000022,2023-05-16,HR Manager,Needs Improvement,64
REV000001,EMP000023,2022-03-05,Line Manager,Good,78
REV000001,EMP000023,2025-12-08,HR Manager,Good,73
REV000001,EMP000023,2021-05-03,HR Manager,Good,76
REV000001,EMP000023,2024-10-04,Line Manager,Very Good,88
REV000001,EMP000023,2025-12-13,Department Head,Very Good,85
REV000001,EMP000023,2023-04-24,Line Manager,Excellent,100
REV000001,EMP000023,2025-07-12,Line Manager,Good,73
REV000001,EMP000024,2023-09-16,Department Head,Good,74
REV000001,EMP000024,2025-05-27,Department Head,Needs Improvement,53
REV000001,EMP000024,2020-03-21,HR Manager,Good,78
REV000001,EMP000024,2019-01-08,Department Head,Good,72
REV000001,EMP000024,2024-12-12,HR Manager,Good,70
REV000001,EMP000024,2025-12-11,HR Manager,Very Good,86
REV000001,EMP000024,2023-03-22,Line Manager,Very Good,85
REV000001,EMP000025,2022-08-17,Department Head,Good,75
REV000001,EMP000025,2020-09-20,HR Manager,Good,73
REV000001,EMP000025,2022-05-12,Line Manager,Excellent,92
REV000001,EMP000025,2022-09-19,HR Manager,Needs Improvement,50
REV000001,EMP000025,2023-09-21,HR Manager,Good,73
REV000001,EMP000025,2021-12-21,HR Manager,Good,71
REV000001,EMP000025,2020-09-19,HR Manager,Very Good,80
REV000001,EMP000026,2021-06-14,Department Head,Very Good,88
REV000001,EMP000026,2022-11-04,Line Manager,Excellent,92
REV000001,EMP000026,2025-07-05,HR Manager,Good,77
REV000001,EMP000026,2020-02-11,Line Manager,Good,77
REV000001,EMP000026,2020-03-11,Department Head,Excellent,92
REV000001,EMP000026,2024-09-17,Line Manager,Excellent,99
REV000001,EMP000026,2025-02-28,HR Manager,Excellent,91
REV000001,EMP000027,2021-03-20,HR Manager,Good,75
REV000001,EMP000027,2021-02-06,HR Manager,Poor,44
REV000001,EMP000027,2022-04-24,Department Head,Very Good,83
REV000001,EMP000027,2020-05-25,Line Manager,Excellent,93
REV000001,EMP000027,2021-11-10,Line Manager,Good,72
REV000001,EMP000027,2019-05-05,HR Manager,Needs Improvement,57
REV000001,EMP000027,2019-01-18,Department Head,Poor,47
REV000001,EMP000028,2024-11-12,Line Manager,Very Good,80
REV000001,EMP000028,2021-07-15,Line Manager,Good,75
REV000001,EMP000028,2021-08-10,HR Manager,Very Good,88
REV000001,EMP000028,2022-07-22,HR Manager,Good,76
REV000001,EMP000028,2021-07-06,HR Manager,Very Good,89
REV000001,EMP000028,2023-11-10,Department Head,Very Good,88
REV000001,EMP000028,2022-10-13,HR Manager,Needs Improvement,66
REV000001,EMP000029,2022-08-05,Department Head,Very Good,88
REV000001,EMP000029,2020-10-28,HR Manager,Good,79
REV000001,EMP000029,2023-05-09,HR Manager,Needs Improvement,55
REV000001,EMP000029,2024-01-22,HR Manager,Good,73
REV000001,EMP000029,2020-03-07,Department Head,Excellent,90
REV000001,EMP000029,2020-02-28,Department Head,Very Good,86
REV000001,EMP000029,2021-05-17,HR Manager,Good,70
REV000001,EMP000030,2021-07-27,Department Head,Very Good,84
REV000001,EMP000030,2020-12-10,HR Manager,Poor,36
REV000001,EMP000030,2020-04-04,HR Manager,Good,70
REV000001,EMP000030,2024-09-28,Line Manager,Good,75
REV000001,EMP000030,2021-08-12,Department Head,Good,71
REV000001,EMP000030,2023-07-10,HR Manager,Good,75
REV000001,EMP000030,2024-12-20,Department Head,Needs Improvement,57
REV000001,EMP000031,2022-10-28,Department Head,Needs Improvement,54
REV000001,EMP000031,2019-02-28,HR Manager,Good,73
REV000001,EMP000031,2022-04-08,HR Manager,Needs Improvement,58
REV000001,EMP000031,2019-06-23,HR Manager,Poor,35
REV000001,EMP000031,2021-04-15,Department Head,Good,79
REV000001,EMP000031,2022-03-12,Department Head,Good,73
REV000001,EMP000031,2025-02-22,Line Manager,Needs Improvement,65
REV000001,EMP000032,2020-08-19,HR Manager,Very Good,83
REV000001,EMP000032,2019-08-15,HR Manager,Needs Improvement,53
REV000001,EMP000032,2021-10-07,HR Manager,Very Good,82
REV000001,EMP000032,2020-11-13,HR Manager,Good,78
REV000001,EMP000032,2025-06-01,Line Manager,Excellent,90
REV000001,EMP000032,2025-11-18,Department Head,Needs Improvement,50
REV000001,EMP000032,2025-07-25,HR Manager,Good,74
REV000001,EMP000033,2020-11-20,HR Manager,Good,73
REV000001,EMP000033,2023-04-22,Department Head,Good,72
REV000001,EMP000033,2020-11-08,Department Head,Good,70
REV000001,EMP000033,2022-06-24,Line Manager,Poor,37
REV000001,EMP000033,2023-03-20,Department Head,Good,70
REV000001,EMP000033,2020-09-23,Department Head,Very Good,80
REV000001,EMP000033,2019-07-02,Line Manager,Poor,36
REV000001,EMP000034,2022-07-28,Department Head,Very Good,89
REV000001,EMP000034,2019-06-13,Department Head,Good,70
REV000001,EMP000034,2019-09-06,Line Manager,Excellent,92
REV000001,EMP000034,2025-03-05,HR Manager,Very Good,80
REV000001,EMP000034,2025-08-01,Department Head,Very Good,89
REV000001,EMP000034,2020-08-04,Line Manager,Needs Improvement,63
REV000001,EMP000034,2023-11-23,Line Manager,Good,74
REV000001,EMP000035,2023-03-11,Department Head,Good,77
REV000001,EMP000035,2019-12-25,Department Head,Very Good,80
REV000001,EMP000035,2025-02-18,HR Manager,Very Good,87
REV000001,EMP000035,2025-05-26,HR Manager,Good,78
REV000001,EMP000035,2024-09-14,Department Head,Good,77
REV000001,EMP000035,2023-07-13,Department Head,Good,73
REV000001,EMP000035,2024-12-07,Line Manager,Very Good,85
REV000001,EMP000036,2019-05-03,HR Manager,Needs Improvement,68
REV000001,EMP000036,2020-04-20,Department Head,Very Good,88
REV000001,EMP000036,2022-06-15,Line Manager,Very Good,87
REV000001,EMP000036,2019-11-02,HR Manager,Needs Improvement,61
REV000001,EMP000036,2023-06-04,HR Manager,Good,73
REV000001,EMP000036,2019-10-05,HR Manager,Needs Improvement,57
REV000001,EMP000036,2023-04-09,Department Head,Good,77
REV000001,EMP000037,2020-06-03,Department Head,Needs Improvement,50
REV000001,EMP000037,2024-11-14,HR Manager,Good,76
REV000001,EMP000037,2021-02-13,HR Manager,Good,70
REV000001,EMP000037,2022-01-13,HR Manager,Good,77
REV000001,EMP000037,2020-08-17,Department Head,Very Good,87
REV000001,EMP000037,2020-08-08,Department Head,Needs Improvement,50
REV000001,EMP000037,2022-01-06,Department Head,Good,73
REV000001,EMP000038,2023-02-25,Line Manager,Needs Improvement,53
REV000001,EMP000038,2025-09-04,Line Manager,Good,71
REV000001,EMP000038,2019-05-21,HR Manager,Needs Improvement,50
REV000001,EMP000038,2024-10-25,HR Manager,Very Good,82
REV000001,EMP000038,2020-09-20,Department Head,Good,70
REV000001,EMP000038,2019-04-02,Line Manager,Very Good,88
REV000001,EMP000038,2019-02-19,Line Manager,GOOD,73
REV000001,EMP000039,2020-04-06,Line Manager,Needs Improvement,53
REV000001,EMP000039,2022-12-19,Line Manager,Very Good,89
REV000001,EMP000039,2024-05-13,Line Manager,Good,79
REV000001,EMP000039,2019-07-04,HR Manager,Good,71
REV000001,EMP000039,2019-05-26,Line Manager,Good,75
REV000001,EMP000039,2020-03-02,Department Head,Very Good,80
REV000001,EMP000039,2025-05-27,Department Head,Very Good,89
REV000001,EMP000040,2020-06-02,Department Head,Poor,43
REV000001,EMP000040,2024-05-11,Department Head,Very Good,80
REV000001,EMP000040,2020-10-23,Line Manager,Very Good,82
REV000001,EMP000040,2019-09-26,HR Manager,Good,75
REV000001,EMP000040,2019-03-20,Line Manager,Good,73
REV000001,EMP000040,2020-10-03,Department Head,Good,73
REV000001,EMP000040,2022-07-18,Line Manager,Good,74
REV000001,EMP000041,2021-11-27,Line Manager,Good,72
REV000001,EMP000041,2020-08-04,Department Head,Good,77
REV000001,EMP000041,2022-09-25,Department Head,Very Good,87
REV000001,EMP000041,2025-04-02,HR Manager,Poor,33
REV000001,EMP000041,2021-01-21,Department Head,Good,78
REV000001,EMP000041,2024-02-27,Line Manager,Good,70
REV000001,EMP000041,2019-06-08,Line Manager,Good,78
REV000001,EMP000042,2024-10-21,Line Manager,Very Good,86
REV000001,EMP000042,2020-02-16,HR Manager,Good,75
REV000001,EMP000042,2023-03-08,Department Head,Needs Improvement,50
REV000001,EMP000042,2022-03-10,Line Manager,Very Good,85
REV000001,EMP000042,2019-06-12,HR Manager,Very Good,81
REV000001,EMP000042,2021-05-06,Department Head,Good,72
REV000001,EMP000042,2023-07-08,Department Head,Good,79
REV000001,EMP000043,2025-03-24,HR Manager,Good,70
REV000001,EMP000043,2020-05-03,HR Manager,Needs Improvement,68
REV000001,EMP000043,2022-01-27,HR Manager,Needs Improvement,51
REV000001,EMP000043,2025-04-23,HR Manager,Good,77
REV000001,EMP000043,2022-05-27,HR Manager,Needs Improvement,52
REV000001,EMP000043,2024-03-21,Line Manager,Good,76
REV000001,EMP000043,2019-01-23,Line Manager,Very Good,80
REV000001,EMP000044,2024-11-05,Department Head,Excellent,91
REV000001,EMP000044,2025-07-23,HR Manager,Good,75
REV000001,EMP000044,2025-09-22,HR Manager,Good,71
REV000001,EMP000044,2025-06-17,HR Manager,Needs Improvement,57
REV000001,EMP000044,2023-08-21,Department Head,Good,73
REV000001,EMP000044,2025-07-01,HR Manager,Needs Improvement,57
REV000001,EMP000044,2020-08-28,Line Manager,Good,75
REV000001,EMP000045,2019-02-18,HR Manager,Good,72
REV000001,EMP000045,2021-03-26,Line Manager,Good,78
REV000001,EMP000045,2021-04-04,Line Manager,Good,77
REV000001,EMP000045,2021-08-22,Department Head,Good,76
REV000001,EMP000045,2021-05-28,HR Manager,Good,78
REV000001,EMP000045,2024-10-23,HR Manager,Good,79
REV000001,EMP000045,2022-03-16,HR Manager,Good,75
REV000001,EMP000046,2025-10-14,Department Head,Very Good,84
REV000001,EMP000046,2021-11-22,HR Manager,Needs Improvement,53
REV000001,EMP000046,2022-04-26,HR Manager,Good,79
REV000001,EMP000046,2021-08-06,HR Manager,Excellent,98
REV000001,EMP000046,2019-01-03,HR Manager,Poor,38
REV000001,EMP000046,2024-10-18,Department Head,Good,72
REV000001,EMP000046,2025-12-28,Line Manager,Very Good,82
REV000001,EMP000047,2020-06-18,Line Manager,Very Good,82
REV000001,EMP000047,2025-01-06,Line Manager,Very Good,85
REV000001,EMP000047,2019-01-01,HR Manager,Good,73
REV000001,EMP000047,2021-09-11,Line Manager,Very Good,81
REV000001,EMP000047,2024-07-25,Department Head,Very Good,87
REV000001,EMP000047,2023-01-11,HR Manager,Good,71
REV000001,EMP000047,2020-12-25,Department Head,Good,79
REV000001,EMP000048,2020-07-26,HR Manager,Needs Improvement,68
REV000001,EMP000048,2019-11-04,Department Head,Needs Improvement,67
REV000001,EMP000048,2025-11-18,HR Manager,Good,79
REV000001,EMP000048,2024-01-12,Line Manager,Good,71
REV000001,EMP000048,2025-07-17,Department Head,Poor,32
REV000001,EMP000048,2025-04-19,HR Manager,Good,71
REV000001,EMP000048,2019-06-08,Line Manager,Good,74
REV000001,EMP000049,2021-10-27,HR Manager,Good,75
REV000001,EMP000049,2020-07-12,HR Manager,Needs Improvement,66
REV000001,EMP000049,2020-03-23,Department Head,Good,75
REV000001,EMP000049,2024-09-15,HR Manager,Very Good,87
REV000001,EMP000049,2023-05-04,Department Head,Good,74
REV000001,EMP000049,2019-03-20,Department Head,Very Good,89
REV000001,EMP000049,2019-07-24,Department Head,Excellent,96
REV000001,EMP000050,2022-05-07,HR Manager,Good,72
REV000001,EMP000050,2024-02-23,Line Manager,Needs Improvement,59
REV000001,EMP000050,2019-04-20,Department Head,Needs Improvement,62
REV000001,EMP000050,2023-04-25,HR Manager,GOOD,150
REV000001,EMP000050,2020-12-03,HR Manager,,150
REV000001,EMP000050,2022-03-09,HR Manager,Very Good,82
REV000001,EMP000050,2019-03-28,HR Manager,Good,75
REV000001,EMP000051,2022-03-03,Department Head,Good,71
REV000001,EMP000051,2025-03-17,HR Manager,Very Good,84
REV000001,EMP000051,2025-09-17,Line Manager,Good,76
REV000001,EMP000051,2022-09-25,Line Manager,Good,74
REV000001,EMP000051,2022-10-17,Department Head,Good,74
REV000001,EMP000051,2024-02-24,Department Head,Very Good,82
REV000001,EMP000051,2019-06-14,Department Head,Very Good,89
REV000001,EMP000052,2023-10-14,Line Manager,Very Good,87
REV000001,EMP000052,2023-04-12,Line Manager,Good,79
REV000001,EMP000052,2021-02-02,HR Manager,Good,72
REV000001,EMP000052,2021-04-21,Line Manager,Good,75
REV000001,EMP000052,2023-04-11,HR Manager,Very Good,81
REV000001,EMP000052,2024-06-26,Department Head,Good,71
REV000001,EMP000052,2023-12-12,HR Manager,Good,71
REV000001,EMP000053,2021-11-04,HR Manager,Needs Improvement,51
REV000001,EMP000053,2021-10-07,HR Manager,Good,75
REV000001,EMP000053,2021-04-09,Department Head,Bad,79
REV000001,EMP000053,2019-11-03,Line Manager,Excellent,90
REV000001,EMP000053,2025-08-14,HR Manager,Good,72
REV000001,EMP000053,2024-07-10,HR Manager,Good,77
REV000001,EMP000053,2022-04-01,HR Manager,Needs Improvement,57
REV000001,EMP000054,2022-12-16,Department Head,Needs Improvement,69
REV000001,EMP000054,2021-09-28,Line Manager,Needs Improvement,63
REV000001,EMP000054,2025-04-15,Department Head,Good,75
REV000001,EMP000054,2024-02-24,Line Manager,Good,70
REV000001,EMP000054,2020-01-28,HR Manager,Good,74
REV000001,EMP000054,2025-06-04,Line Manager,Good,79
REV000001,EMP000054,2022-08-08,Department Head,Good,75
REV000001,EMP000055,2025-06-23,Line Manager,Good,78
REV000001,EMP000055,2019-12-03,HR Manager,Good,72
REV000001,EMP000055,2019-09-19,Department Head,Very Good,82
REV000001,EMP000055,2021-08-10,Department Head,Good,77
REV000001,EMP000055,2023-12-07,Line Manager,Good,77
REV000001,EMP000055,2022-08-25,Department Head,Excellent,99
REV000001,EMP000055,2020-08-09,Department Head,Very Good,82
REV000001,EMP000056,2020-01-21,Line Manager,Very Good,82
REV000001,EMP000056,2022-08-27,Line Manager,Excellent,97
REV000001,EMP000056,2024-09-05,Department Head,Good,75
REV000001,EMP000056,2022-03-05,HR Manager,Good,76
REV000001,EMP000056,2019-03-16,Line Manager,Very Good,80
REV000001,EMP000056,2020-03-07,Line Manager,Good,70
REV000001,EMP000056,2022-01-28,Line Manager,Good,73
REV000001,EMP000057,2019-09-17,HR Manager,Needs Improvement,54
REV000001,EMP000057,2022-04-07,HR Manager,Good,77
REV000001,EMP000057,2023-11-13,Line Manager,Needs Improvement,65
REV000001,EMP000057,2024-03-25,Department Head,Very Good,87
REV000001,EMP000057,2024-08-25,Department Head,Good,72
REV000001,EMP000057,2024-11-02,Department Head,Needs Improvement,57
REV000001,EMP000057,2019-02-04,HR Manager,Needs Improvement,69
REV000001,EMP000058,2024-12-16,Line Manager,Very Good,87
REV000001,EMP000058,2019-02-22,HR Manager,Good,78
REV000001,EMP000058,2021-09-13,HR Manager,Very Good,83
REV000001,EMP000058,2019-12-01,Department Head,Poor,41
REV000001,EMP000058,2022-10-16,Line Manager,Needs Improvement,54
REV000001,EMP000058,2023-07-05,HR Manager,Excellent,92
REV000001,EMP000058,2023-11-21,Line Manager,Excellent,96
REV000001,EMP000059,2023-05-03,Line Manager,Very Good,84
REV000001,EMP000059,2021-10-01,Line Manager,Very Good,82
REV000001,EMP000059,2025-02-09,Line Manager,Good,79
REV000001,EMP000059,2020-07-08,HR Manager,Good,74
REV000001,EMP000059,2021-11-05,Line Manager,Good,72
REV000001,EMP000059,2020-08-20,Line Manager,Good,78
REV000001,EMP000059,2024-07-22,HR Manager,Good,70
REV000001,EMP000060,2020-05-19,HR Manager,Needs Improvement,51
REV000001,EMP000060,2019-04-07,HR Manager,Good,73
REV000001,EMP000060,2022-09-20,Line Manager,Needs Improvement,66
REV000001,EMP000060,2022-10-15,Line Manager,Very Good,83
REV000001,EMP000060,2021-01-02,Department Head,Very Good,84
REV000001,EMP000060,2024-09-28,HR Manager,Very Good,85
REV000001,EMP000060,2025-08-01,HR Manager,Needs Improvement,64
REV000001,EMP000061,2020-02-15,HR Manager,Good,70
REV000001,EMP000061,2022-05-04,Line Manager,Poor,45
REV000001,EMP000061,2024-01-16,Line Manager,Needs Improvement,62
REV000001,EMP000061,2019-09-12,HR Manager,Very Good,82
REV000001,EMP000061,2024-10-15,HR Manager,Very Good,88
REV000001,EMP000061,2020-04-21,HR Manager,Needs Improvement,66
REV000001,EMP000061,2019-03-06,HR Manager,Needs Improvement,66
REV000001,EMP000062,2024-12-23,Department Head,Very Good,83
REV000001,EMP000062,2025-12-12,Department Head,Good,79
REV000001,EMP000062,2021-04-22,Department Head,Good,74
REV000001,EMP000062,2021-11-08,Department Head,Excellent,100
REV000001,EMP000062,2019-11-21,Department Head,Needs Improvement,57
REV000001,EMP000062,2022-04-18,HR Manager,Very Good,83
REV000001,EMP000062,2019-04-18,Line Manager,Good,73
REV000001,EMP000063,2024-09-26,HR Manager,Poor,39
REV000001,EMP000063,2023-02-13,Line Manager,Needs Improvement,61
REV000001,EMP000063,2021-05-08,Department Head,Very Good,87
REV000001,EMP000063,2020-02-11,Line Manager,Good,72
REV000001,EMP000063,2019-10-28,Line Manager,Needs Improvement,59
REV000001,EMP000063,2023-03-09,Department Head,Needs Improvement,52
REV000001,EMP000063,2021-08-14,HR Manager,Good,79
REV000001,EMP000064,2024-04-26,Line Manager,Needs Improvement,50
REV000001,EMP000064,2019-10-06,Department Head,Very Good,87
REV000001,EMP000064,2023-05-17,Line Manager,Bad,75
REV000001,EMP000064,2021-02-28,Department Head,Good,71
REV000001,EMP000064,2020-06-26,Department Head,Needs Improvement,58
REV000001,EMP000064,2025-07-27,Department Head,Good,70
REV000001,EMP000064,2023-05-23,HR Manager,Good,70
REV000001,EMP000065,2019-10-14,HR Manager,Good,76
REV000001,EMP000065,2020-08-21,Department Head,Excellent,94
REV000001,EMP000065,2020-04-16,HR Manager,Very Good,88
REV000001,EMP000065,2021-08-26,Department Head,Needs Improvement,50
REV000001,EMP000065,2023-04-03,Line Manager,Good,70
REV000001,EMP000065,2020-07-15,Department Head,Good,79
REV000001,EMP000065,2023-08-16,Department Head,Good,74
REV000001,EMP000066,2023-07-08,Line Manager,Needs Improvement,50
REV000001,EMP000066,2019-11-20,HR Manager,Very Good,87
REV000001,EMP000066,2019-01-20,HR Manager,Good,72
REV000001,EMP000066,2022-06-09,HR Manager,Needs Improvement,55
REV000001,EMP000066,2023-12-03,Department Head,Needs Improvement,66
REV000001,EMP000066,2023-09-14,HR Manager,Good,79
REV000001,EMP000066,2025-02-27,Department Head,Very Good,84
REV000001,EMP000067,2021-10-05,Line Manager,Very Good,88
