ExitID,EmployeeID,ExitDate,ExitReason
EXT000056,EMP000333,2023-04-16,Retirement
EXT000057,EMP000337,2025-03-02,Resignation
EXT000058,EMP000341,2024-05-02,Retirement
EXT000059,EMP000345,2024-01-18,Fired
EXT000060,EMP000349,2025-08-25,Dismissed
EXT000061,EMP000355,2023-04-09,Contract End
EXT000062,EMP000365,2021-01-27,Resignation
EXT000063,EMP000367,2019-03-04,Death
EXT000064,EMP000374,2022-09-19,Contract End
EXT000065,EMP000376,2020-01-02,Retirement
EXT000066,EMP000384,2021-01-07,Resignation
EXT000067,EMP000387,2023-04-05,Death
EXT000068,EMP000394,2025-08-14,Fired
EXT000069,EMP000403,2022-12-02,Retirement
EXT000070,EMP000418,2021-04-24,Termination
EXT000071,EMP000425,2021-04-07,Quit
EXT000072,EMP000433,2021-12-15,Retirement
EXT000073,EMP000436,2019-05-10,Retirement
EXT000074,EMP000453,2021-10-18,Termination
EXT000075,EMP000462,2019-03-01,Termination
EXT000076,EMP000481,2019-07-06,Unknown
EXT000077,EMP000482,2024-10-16,Death
EXT000078,EMP000487,2025-10-21,Death
EXT000079,EMP000491,2021-11-13,Fired
EXT000080,EMP000515,2024-08-13,Relocation
EXT000081,EMP000518,2023-12-19,Dismissed
EXT000082,EMP000521,2021-03-22,Resignation
EXT000083,EMP000523,2021-03-05,Retirement
EXT000084,EMP000540,2021-01-24,Relocation
EXT000085,EMP000544,2024-01-11,Death
EXT000086,EMP000557,2021-08-17,
EXT000087,EMP000558,2025-04-03,Contract End
EXT000088,EMP000571,2020-10-05,Death
EXT000089,EMP000585,2024-08-21,Resignation
EXT000090,EMP000601,2024-06-14,Retirement
EXT000091,EMP000618,2024-01-10,Relocation
EXT000092,EMP000641,2021-02-22,Termination
EXT000093,EMP000642,2019-01-17,Termination
EXT000094,EMP000657,2024-02-10,Contract End
EXT000095,EMP000661,2025-01-02,Contract End
EXT000096,EMP000679,2025-01-24,Unknown
EXT000097,EMP000680,2024-02-04,Death
EXT000098,EMP000682,2020-11-20,Contract End
EXT000099,EMP000686,2024-09-23,Death
EXT000100,EMP000690,2023-07-10,Quit
EXT000101,EMP000692,2024-05-17,Death
EXT000102,EMP000707,2022-04-01,Contract End
EXT000103,EMP000709,2024-04-27,Death
EXT000104,EMP000725,2024-06-08,Resignation
EXT000105,EMP000740,2025-06-10,Termination
EXT000106,EMP000750,2020-08-02,Contract End
EXT000107,EMP000752,2025-10-10,Termination
EXT000108,EMP000753,2020-12-25,
EXT000109,EMP000754,2021-04-13,Termination
EXT000110,EMP000758,2024-10-10,Death
EXT000111,EMP000759,2025-12-01,Relocation
EXT000112,EMP000766,2023-01-12,Retirement
EXT000113,EMP000775,2019-01-14,Relocation
EXT000114,EMP000777,2020-03-18,Termination
EXT000115,EMP000788,2022-06-18,Resignation
EXT000116,EMP000790,2021-09-18,Quit
EXT000117,EMP000803,2019-06-02,
EXT000118,EMP000810,2022-03-14,Quit
EXT000119,EMP000816,2025-08-02,Relocation
EXT000120,EMP000821,2024-06-27,Termination
EXT000121,EMP000846,2023-03-16,
EXT000122,EMP000856,2020-04-20,Resignation
EXT000123,EMP000860,2025-07-08,Death
EXT000124,EMP000874,2021-09-06,
EXT000125,EMP000882,2019-01-04,Termination
EXT000126,EMP000890,2022-08-14,Relocation
EXT000127,EMP000900,2022-07-01,Contract End
EXT000128,EMP000901,2025-03-02,Relocation
EXT000129,EMP000904,2020-07-08,Contract End
EXT000130,EMP000913,2021-08-18,Death
EXT000131,EMP000915,2023-12-07,Relocation
EXT000132,EMP000920,2022-02-27,Fired
EXT000133,EMP000931,2022-12-22,Termination
EXT000134,EMP000936,2022-03-02,Contract End
EXT000135,EMP000938,2020-06-01,Retirement
EXT000136,EMP000955,2022-08-06,Termination
EXT000137,EMP000959,2022-11-27,
EXT000138,EMP000960,2022-09-28,Retirement
EXT000139,EMP000964,2022-03-25,Termination
EXT000140,EMP000966,2023-02-14,Retirement
EXT000141,EMP000972,2020-08-11,
EXT000142,EMP000975,2024-05-27,Contract End
EXT000143,EMP000983,2022-03-07,Relocation
EXT000144,EMP000984,2021-11-27,
EXT000145,EMP000986,2023-09-25,
EXT000146,EMP000987,2022-03-05,Termination
EXT000147,EMP000995,2024-02-26,Retirement
EXT000148,EMP001023,2024-11-02,Contract End
EXT000149,EMP001030,2022-01-01,Retirement
EXT000150,EMP001043,2023-08-27,Relocation
EXT000151,EMP001044,2024-06-23,Termination
EXT000152,EMP001046,2022-02-20,Death
EXT000153,EMP001049,2024-07-13,Resignation
EXT000154,EMP001068,2025-10-03,
EXT000155,EMP001080,2021-09-18,Relocation
EXT000156,EMP001081,2023-08-24,Termination
EXT000157,EMP001091,2025-02-04,Death
EXT000158,EMP001095,2023-04-14,Relocation
EXT000159,EMP001107,2024-01-12,Termination
EXT000160,EMP001109,2020-07-18,
EXT000161,EMP001116,2025-03-05,Resignation
EXT000162,EMP001131,2024-09-18,Retirement
EXT000163,EMP001133,2021-02-17,Retirement
EXT000164,EMP001135,2020-07-23,Termination
EXT000165,EMP001139,2025-04-16,Contract End
EXT000166,EMP001143,2022-10-10,Contract End
EXT000167,EMP001148,2023-01-02,Fired
EXT000168,EMP001153,2019-10-16,Termination
EXT000169,EMP001160,2021-09-20,Relocation
EXT000170,EMP001171,2020-01-28,Termination
EXT000171,EMP001173,2019-08-11,Contract End
EXT000172,EMP001180,2021-06-18,Resignation
EXT000173,EMP001187,2025-07-14,Contract End
EXT000174,EMP001189,2025-04-22,Retirement
EXT000175,EMP001194,2021-08-27,Contract End
EXT000176,EMP001200,2021-07-10,Relocation
EXT000177,EMP001204,2024-07-24,Relocation
EXT000178,EMP001215,2019-05-19,Termination
EXT000179,EMP001218,2025-06-22,Termination
EXT000180,EMP001226,2023-12-08,Death
EXT000181,EMP001232,2023-10-18,Resignation
EXT000182,EMP001237,2021-01-07,Unknown
EXT000183,EMP001239,2023-10-13,Retirement
EXT000184,EMP001253,2025-04-22,Termination
EXT000185,EMP001261,2022-01-06,Dismissed
EXT000186,EMP001266,2020-03-12,Death
EXT000187,EMP001267,2019-08-11,Termination
EXT000188,EMP001274,2024-05-12,Termination
EXT000189,EMP001275,2023-11-24,Relocation
EXT000190,EMP001304,2020-07-04,Retirement
EXT000191,EMP001311,2025-08-22,Resignation
EXT000192,EMP001320,2022-12-09,Relocation
EXT000193,EMP001324,2025-01-14,
EXT000194,EMP001329,2025-09-25,Resignation
EXT000195,EMP001331,2022-04-26,Contract End
EXT000196,EMP001336,2019-04-19,Relocation
EXT000197,EMP001344,2022-06-04,Contract End
EXT000198,EMP001351,2025-09-15,Contract End
EXT000199,EMP001352,2021-02-05,
EXT000200,EMP001360,2019-05-19,Relocation
EXT000201,EMP001369,2019-01-07,Resignation
EXT000202,EMP001381,2023-01-07,Retirement
EXT000203,EMP001390,2023-12-03,Relocation
EXT000204,EMP001407,2024-12-24,Death
EXT000205,EMP001408,2019-01-12,Termination
EXT000206,EMP001416,2020-04-17,
EXT000207,EMP001421,2025-06-14,Contract End
EXT000208,EMP001426,2021-02-15,
EXT000209,EMP001427,2025-05-02,Contract End
EXT000210,EMP001436,2022-11-19,Retirement
EXT000211,EMP001445,2019-09-28,Retirement
EXT000212,EMP001457,2025-08-10,Death
EXT000213,EMP001464,2022-05-09,
EXT000214,EMP001468,2024-10-28,Contract End
EXT000215,EMP001474,2023-02-10,
EXT000216,EMP001480,2021-03-04,Contract End
EXT000217,EMP001487,2020-03-27,Death
EXT000218,EMP001491,2021-07-02,Termination
EXT000219,EMP001501,2021-01-11,Death
EXT000220,EMP001511,2020-07-17,Unknown
EXT000221,EMP001517,2025-03-13,Death
EXT000222,EMP001522,2021-01-26,Contract End
EXT000223,EMP001528,2022-09-07,Retirement
EXT000224,EMP001550,2021-12-27,Relocation
EXT000225,EMP001570,2023-02-15,Death
EXT000226,EMP001571,2024-05-20,Relocation
EXT000227,EMP001572,2022-02-05,Relocation
EXT000228,EMP001576,2020-08-17,Death
EXT000229,EMP001577,2025-10-28,Contract End
EXT000230,EMP001587,2025-10-26,Retirement
EXT000231,EMP001615,2025-10-01,Termination
EXT000232,EMP001620,2019-09-09,Resignation
EXT000233,EMP001631,2022-10-12,Relocation
EXT000234,EMP001646,2023-10-16,Fired
EXT000235,EMP001657,2023-07-23,Retirement
EXT000236,EMP001660,2025-06-08,Relocation
EXT000237,EMP001662,2023-08-25,
EXT000238,EMP001664,2024-02-20,Resignation
EXT000239,EMP001665,2025-03-25,Relocation
EXT000240,EMP001666,2021-02-23,Contract End
EXT000241,EMP001684,2025-04-14,Resignation
EXT000242,EMP001685,2020-11-05,Relocation
EXT000243,EMP001691,2022-05-21,Contract End
EXT000244,EMP001698,2020-05-15,Dismissed
EXT000245,EMP001700,2019-09-02,Retirement
EXT000246,EMP001703,2021-01-07,Retirement
EXT000247,EMP001708,2025-12-16,Death
EXT000248,EMP001716,2024-02-12,Resignation
EXT000249,EMP001732,2023-08-26,Unknown
EXT000250,EMP001740,2025-08-23,Contract End
EXT000251,EMP001744,2025-07-18,Termination
EXT000252,EMP001745,2021-06-02,Dismissed
EXT000253,EMP001749,2023-05-17,Death
EXT000254,EMP001771,2021-09-24,
EXT000255,EMP001775,2022-01-06,Resignation
EXT000256,EMP001776,2022-06-02,
EXT000257,EMP001783,2023-05-09,Retirement
EXT000258,EMP001789,2024-02-14,Contract End
EXT000259,EMP001798,2019-08-06,Relocation
EXT000260,EMP001826,2022-04-25,Retirement
EXT000261,EMP001827,2025-12-23,Relocation
EXT000262,EMP001833,2022-02-19,Fired
EXT000263,EMP001846,2022-02-02,Resignation
EXT000264,EMP001851,2025-09-15,Termination
EXT000265,EMP001855,2023-03-24,Dismissed
EXT000266,EMP001861,2025-06-14,Fired
EXT000267,EMP001873,2023-05-23,Termination
EXT000268,EMP001876,2019-04-13,Termination
EXT000269,EMP001879,2024-01-07,Resignation
EXT000270,EMP001881,2022-06-28,
EXT000271,EMP001886,2020-08-26,Quit
EXT000272,EMP001887,2020-06-14,Relocation
EXT000273,EMP001898,2019-03-13,Relocation
EXT000274,EMP001902,2020-10-15,Termination
EXT000275,EMP001905,2025-10-09,Dismissed
EXT000276,EMP001909,2025-11-15,Retired
EXT000277,EMP001932,2023-04-13,Resignation
EXT000278,EMP001942,2020-12-25,Retirement
EXT000279,EMP001954,2025-02-14,Death
EXT000280,EMP001956,2019-02-19,Termination
EXT000281,EMP001958,2025-03-07,Resignation
EXT000282,EMP001959,2023-03-23,
EXT000283,EMP001965,2025-07-02,Relocation
EXT000284,EMP001973,2023-11-02,Relocation
EXT000285,EMP001974,2023-03-20,Relocation
EXT000286,EMP001975,2021-08-19,Contract End
EXT000287,EMP001986,2021-11-22,Retirement
EXT000288,EMP001989,2019-10-07,Relocation
EXT000289,EMP001993,2022-11-22,Relocation
EXT000290,EMP001997,2022-03-20,Relocation
EXT000291,EMP002003,2022-09-02,Termination
EXT000292,EMP002004,2022-07-13,Termination
EXT000293,EMP002011,2025-12-01,Retired
EXT000294,EMP002012,2022-12-15,Resignation
EXT000295,EMP002020,2022-05-04,Contract End
EXT000296,EMP002026,2022-05-13,Contract End
EXT000297,EMP002028,2019-06-06,Resignation
EXT000298,EMP002029,2025-12-02,Termination
EXT000299,EMP002030,2021-04-20,Death
EXT000300,EMP002038,2024-03-22,Termination
EXT000301,EMP002052,2021-06-05,Fired
EXT000302,EMP002055,2020-07-12,Death
EXT000303,EMP002064,2023-11-14,Retirement
EXT000304,EMP002070,2022-12-28,Contract End
EXT000305,EMP002075,2019-09-04,Relocation
EXT000306,EMP002079,2024-08-07,Termination
EXT000307,EMP002085,2019-02-22,Relocation
EXT000308,EMP002092,2019-10-10,Death
EXT000309,EMP002121,2022-08-19,Relocation
EXT000310,EMP002124,2021-03-24,Contract End
EXT000311,EMP002126,2025-09-22,Resignation
EXT000312,EMP002129,2023-10-03,Termination
EXT000313,EMP002131,2020-05-21,Relocation
EXT000314,EMP002145,2023-09-22,Fired
EXT000315,EMP002153,2019-07-04,Resignation
EXT000316,EMP002155,2020-04-27,
EXT000317,EMP002176,2024-03-22,
EXT000318,EMP002182,2020-09-27,Termination
EXT000319,EMP002185,2021-02-19,Death
EXT000320,EMP002187,2025-12-24,Contract End
EXT000321,EMP002193,2021-12-28,Retirement
EXT000322,EMP002194,2023-08-14,Resignation
EXT000323,EMP002202,2020-04-23,Contract End
EXT000324,EMP002203,2019-12-08,Resignation
EXT000325,EMP002207,2023-05-11,
EXT000326,EMP002215,2023-12-04,Resignation
EXT000327,EMP002235,2021-03-22,Retirement
EXT000328,EMP002237,2020-02-15,
EXT000329,EMP002238,2019-08-15,Retirement
EXT000330,EMP002239,2023-04-14,Relocation
EXT000331,EMP002253,2022-05-18,Retirement
EXT000332,EMP002255,2020-05-06,Termination
EXT000333,EMP002258,2023-07-12,Relocation
EXT000334,EMP002269,2025-07-10,Relocation
EXT000335,EMP002277,2021-01-09,Contract End
EXT000336,EMP002290,2021-01-09,Death
EXT000337,EMP002296,2019-05-12,Relocation
EXT000338,EMP002309,2024-12-06,Retirement
EXT000339,EMP002310,2019-04-25,Relocation
EXT000340,EMP002321,2023-12-09,Retired
EXT000341,EMP002325,2021-07-21,Termination
EXT000342,EMP002334,2019-10-21,Termination
EXT000343,EMP002343,2025-06-02,Retired
EXT000344,EMP002344,2020-01-12,Resignation
EXT000345,EMP002350,2019-12-10,Dismissed
EXT000346,EMP002362,2024-03-25,Contract End
EXT000347,EMP002375,2023-11-20,Quit
EXT000348,EMP002376,2023-04-17,Retirement
EXT000349,EMP002381,2019-10-23,
EXT000350,EMP002391,2020-02-06,Death
EXT000351,EMP002405,2021-11-12,Relocation
EXT000352,EMP002409,2020-08-05,Resignation
EXT000353,EMP002421,2019-09-27,Resignation
EXT000354,EMP002429,2019-04-04,Quit
EXT000355,EMP002443,2019-05-25,Contract End
EXT000356,EMP002451,2021-08-13,
EXT000357,EMP002459,2023-02-11,Death
EXT000358,EMP002474,2024-04-27,Quit
EXT000359,EMP002480,2024-02-23,Relocation
EXT000360,EMP002484,2020-04-14,Relocation
EXT000361,EMP002493,2022-12-16,
EXT000362,EMP002495,2025-11-15,Dismissed
EXT000020,EMP000129,2022-11-19,Quit
EXT000239,EMP001665,2025-03-25,Relocation
EXT000032,EMP000202,2025-08-13,
EXT000337,EMP002296,2019-05-12,Relocation
EXT000074,EMP000453,2021-10-18,Termination
EXT000211,EMP001445,2019-09-28,Retirement
EXT000355,EMP002443,2019-05-25,Contract End
EXT000057,EMP000337,2025-03-02,Resignation
EXT000314,EMP002145,2023-09-22,Fired
EXT000155,EMP001080,2021-09-18,Relocation
EXT000066,EMP000384,2021-01-07,Resignation
EXT000029,EMP000187,2025-04-24,Contract End
EXT000180,EMP001226,2023-12-08,Death
EXT000228,EMP001576,2020-08-17,Death
EXT000298,EMP002029,2025-12-02,Termination
EXT000027,EMP000180,2019-02-01,
EXT000134,EMP000936,2022-03-02,Contract End
EXT000143,EMP000983,2022-03-07,Relocation
EXT000197,EMP001344,2022-06-04,Contract End
EXT000227,EMP001572,2022-02-05,Relocation
EXT000044,EMP000274,2019-11-20,Retirement
EXT000065,EMP000376,2020-01-02,Retirement
EXT000283,EMP001965,2025-07-02,Relocation
EXT000083,EMP000523,2021-03-05,Retirement
EXT000353,EMP002421,2019-09-27,Resignation
EXT000157,EMP001091,2025-02-04,Death
EXT000111,EMP000759,2025-12-01,Relocation
EXT000236,EMP001660,2025-06-08,Relocation
EXT000216,EMP001480,2021-03-04,Contract End
EXT000091,EMP000618,2024-01-10,Relocation
