PromotionID,EmployeeID,PromotionDate,PromotionReason
PRO000264,EMP000858,2022-09-03,Outstanding Performance
PRO000265,EMP000860,2019-08-08,Leadership Potential
PRO000266,EMP000861,2019-07-13,Leadership Potential
PRO000267,EMP000863,2021-07-12,Outstanding Performance
PRO000268,EMP000870,2025-04-27,Leadership Potential
PRO000269,EMP000873,2020-10-15,Leadership Potential
PRO000270,EMP000874,2023-12-13,Promotion
PRO000271,EMP000875,2024-08-07,Outstanding Performance
PRO000272,EMP000891,2024-10-12,Leadership Potential
PRO000273,EMP000893,2022-07-28,Outstanding Performance
PRO000274,EMP000895,2025-01-11,Leadership Potential
PRO000275,EMP000898,2025-11-12,Department Expansion
PRO000276,EMP000907,2025-05-27,Internal Recruitment
PRO000277,EMP000909,2021-02-17,Leadership Potential
PRO000278,EMP000911,2023-11-26,Internal Recruitment
PRO000279,EMP000916,2020-06-12,Leadership Potential
PRO000280,EMP000924,2020-07-03,Leadership Potential
PRO000281,EMP000926,2019-09-05,Years of Service
PRO000282,EMP000929,2021-02-20,Department Expansion
PRO000283,EMP000932,2019-03-03,Outstanding Performance
PRO000284,EMP000937,2021-02-19,Leadership Potential
PRO000285,EMP000940,2020-12-16,Outstanding Performance
PRO000286,EMP000941,2024-08-25,Outstanding Performance
PRO000287,EMP000943,2022-04-09,Years of Service
PRO000288,EMP000945,2019-08-03,Years of Service
PRO000289,EMP000947,2025-07-14,Department Expansion
PRO000290,EMP000950,2019-04-02,Outstanding Performance
PRO000291,EMP000951,2024-07-09,Internal Recruitment
PRO000292,EMP000955,2024-10-11,Leadership Potential
PRO000293,EMP000956,2022-01-18,Leadership Potential
PRO000294,EMP000957,2019-09-01,Department Expansion
PRO000295,EMP000963,2024-08-22,Years of Service
PRO000296,EMP000965,2024-06-12,Leadership Potential
PRO000297,EMP000966,2019-10-04,Years of Service
PRO000298,EMP000970,2025-10-12,Leadership Potential
PRO000299,EMP000975,2023-03-07,Years of Service
PRO000300,EMP000976,2020-12-10,
PRO000301,EMP000984,2020-10-26,Department Expansion
PRO000302,EMP000993,2020-02-07,Internal Recruitment
PRO000303,EMP001000,2023-08-19,Years of Service
PRO000304,EMP001003,2022-07-02,Leadership Potential
PRO000305,EMP001004,2022-12-15,Leadership Potential
PRO000306,EMP001006,2021-01-08,Years of Service
PRO000307,EMP001008,2020-08-01,Department Expansion
PRO000308,EMP001009,2021-03-25,Internal Recruitment
PRO000309,EMP001012,2021-01-20,Outstanding Performance
PRO000310,EMP001015,2021-10-04,Department Expansion
PRO000311,EMP001016,2020-05-25,Outstanding Performance
PRO000312,EMP001019,2020-10-28,Internal Recruitment
PRO000313,EMP001021,2022-11-15,Leadership Potential
PRO000314,EMP001030,2020-05-02,Promotion
PRO000315,EMP001031,2023-12-03,Department Expansion
PRO000316,EMP001032,2021-03-01,Years of Service
PRO000317,EMP001035,2024-07-26,Outstanding Performance
PRO000318,EMP001036,2024-05-02,Years of Service
PRO000319,EMP001039,2021-03-10,Internal Recruitment
PRO000320,EMP001041,2022-12-14,Department Expansion
PRO000321,EMP001043,2022-11-25,Leadership Potential
PRO000322,EMP001045,2025-05-27,
PRO000323,EMP001048,2023-08-15,Outstanding Performance
PRO000324,EMP001050,2021-11-03,Years of Service
PRO000325,EMP001053,2025-11-19,Department Expansion
PRO000326,EMP001062,2024-10-22,N/A
PRO000327,EMP001063,2023-04-28,Leadership Potential
PRO000328,EMP001071,2024-08-19,Leadership Potential
PRO000329,EMP001073,2020-04-05,Years of Service
PRO000330,EMP001074,2024-11-09,Leadership Potential
PRO000331,EMP001076,2023-09-25,Outstanding Performance
PRO000332,EMP001086,2019-02-24,Years of Service
PRO000333,EMP001087,2020-08-20,Leadership Potential
PRO000334,EMP001090,2023-12-11,Transfer
PRO000335,EMP001091,2020-12-07,Leadership Potential
PRO000336,EMP001099,2019-09-21,Department Expansion
PRO000337,EMP001102,2025-10-14,
PRO000338,EMP001108,2021-10-26,Outstanding Performance
PRO000339,EMP001114,2024-09-17,Years of Service
PRO000340,EMP001116,2022-02-08,Outstanding Performance
PRO000341,EMP001117,2020-10-05,
PRO000342,EMP001118,2024-05-22,Internal Recruitment
PRO000343,EMP001121,2024-12-07,Internal Recruitment
PRO000344,EMP001127,2023-03-17,Years of Service
PRO000345,EMP001128,2025-02-21,Leadership Potential
PRO000346,EMP001132,2019-06-16,Leadership Potential
PRO000347,EMP001139,2020-08-05,Outstanding Performance
PRO000348,EMP001145,2022-06-17,Years of Service
PRO000349,EMP001147,2024-07-20,Years of Service
PRO000350,EMP001155,2025-07-14,Excellent
PRO000351,EMP001160,2021-07-02,Internal Recruitment
PRO000352,EMP001171,2021-01-04,Years of Service
PRO000353,EMP001172,2025-09-08,Years of Service
PRO000354,EMP001175,2019-10-05,Department Expansion
PRO000355,EMP001177,2023-06-15,Years of Service
PRO000356,EMP001182,2019-01-19,Department Expansion
PRO000357,EMP001184,2022-09-26,Department Expansion
PRO000358,EMP001185,2020-04-04,Internal Recruitment
PRO000359,EMP001189,2024-06-10,Years of Service
PRO000360,EMP001193,2024-11-25,Internal Recruitment
PRO000361,EMP001198,2020-07-01,Outstanding Performance
PRO000362,EMP001199,2021-03-10,Years of Service
PRO000363,EMP001205,2021-03-07,Department Expansion
PRO000364,EMP001206,2021-08-20,Leadership Potential
PRO000365,EMP001210,2020-06-16,Internal Recruitment
PRO000366,EMP001212,2025-01-13,Internal Recruitment
PRO000367,EMP001215,2025-01-02,Internal Recruitment
PRO000368,EMP001218,2025-07-06,Leadership Potential
PRO000369,EMP001224,2020-08-06,Years of Service
PRO000370,EMP001225,2023-03-27,Internal Recruitment
PRO000371,EMP001226,2019-03-11,Leadership Potential
PRO000372,EMP001227,2020-09-27,Outstanding Performance
PRO000373,EMP001231,2023-09-07,
PRO000374,EMP001234,2019-01-06,Leadership Potential
PRO000375,EMP001235,2020-06-13,Internal Recruitment
PRO000376,EMP001239,2024-04-21,Department Expansion
PRO000377,EMP001243,2024-10-08,Years of Service
PRO000378,EMP001244,2021-12-24,Years of Service
PRO000379,EMP001252,2019-11-26,Leadership Potential
PRO000380,EMP001253,2022-03-04,Excellent
PRO000381,EMP001255,2024-10-20,Years of Service
PRO000382,EMP001256,2022-09-17,Department Expansion
PRO000383,EMP001257,2025-06-19,Years of Service
PRO000384,EMP001262,2024-03-04,Leadership Potential
PRO000385,EMP001263,2024-10-13,Leadership Potential
PRO000386,EMP001264,2019-09-27,Years of Service
PRO000387,EMP001265,2021-09-13,Department Expansion
PRO000388,EMP001272,2020-04-19,Internal Recruitment
PRO000389,EMP001276,2024-05-07,Outstanding Performance
PRO000390,EMP001277,2019-02-22,Internal Recruitment
PRO000391,EMP001280,2025-01-25,Leadership Potential
PRO000392,EMP001285,2024-05-21,Internal Recruitment
PRO000393,EMP001296,2024-02-22,Internal Recruitment
PRO000394,EMP001306,2019-11-11,Excellent
PRO000395,EMP001318,2024-05-22,Leadership Potential
PRO000396,EMP001321,2019-05-25,Department Expansion
PRO000397,EMP001324,2024-09-27,Transfer
PRO000398,EMP001325,2021-08-17,Department Expansion
PRO000399,EMP001326,2019-01-18,Leadership Potential
PRO000400,EMP001335,2021-10-11,Department Expansion
PRO000401,EMP001336,2022-04-23,Department Expansion
PRO000402,EMP001338,2019-04-28,Department Expansion
PRO000403,EMP001339,2024-06-19,Outstanding Performance
PRO000404,EMP001345,2020-05-02,Years of Service
PRO000405,EMP001349,2025-03-06,Leadership Potential
PRO000406,EMP001355,2024-01-07,Outstanding Performance
PRO000407,EMP001357,2023-06-01,Leadership Potential
PRO000408,EMP001368,2019-04-04,Years of Service
PRO000409,EMP001370,2021-08-23,Department Expansion
PRO000410,EMP001372,2019-09-11,Internal Recruitment
PRO000411,EMP001375,2021-07-19,Internal Recruitment
PRO000412,EMP001385,2025-01-07,Leadership Potential
PRO000413,EMP001388,2019-01-15,Outstanding Performance
PRO000414,EMP001390,2020-12-15,Outstanding Performance
PRO000415,EMP001391,2022-08-08,Years of Service
PRO000416,EMP001393,2021-10-01,Department Expansion
PRO000417,EMP001395,2023-09-12,Leadership Potential
PRO000418,EMP001400,2024-04-05,Internal Recruitment
PRO000419,EMP001402,2019-01-16,Years of Service
PRO000420,EMP001403,2019-02-05,Internal Recruitment
PRO000421,EMP001407,2020-03-19,Years of Service
PRO000422,EMP001414,2024-09-14,Years of Service
PRO000423,EMP001415,2023-01-14,Leadership Potential
PRO000424,EMP001419,2021-04-04,Outstanding Performance
PRO000425,EMP001420,2024-12-11,Department Expansion
PRO000426,EMP001422,2024-01-28,Department Expansion
PRO000427,EMP001424,2020-08-19,Internal Recruitment
PRO000428,EMP001426,2019-04-12,Outstanding Performance
PRO000429,EMP001432,2021-08-05,Leadership Potential
PRO000430,EMP001435,2025-10-19,Good
PRO000431,EMP001439,2024-04-12,Department Expansion
PRO000432,EMP001441,2024-03-28,Years of Service
PRO000433,EMP001445,2024-11-27,Years of Service
PRO000434,EMP001457,2023-05-27,Department Expansion
PRO000435,EMP001459,2021-11-08,Internal Recruitment
PRO000436,EMP001464,2025-02-07,
PRO000437,EMP001470,2024-09-08,Department Expansion
PRO000438,EMP001471,2022-01-28,Years of Service
PRO000439,EMP001472,2025-12-12,Years of Service
PRO000440,EMP001473,2020-11-07,Years of Service
PRO000441,EMP001482,2022-11-01,Department Expansion
PRO000442,EMP001485,2024-11-15,Leadership Potential
PRO000443,EMP001490,2019-04-03,Internal Recruitment
PRO000444,EMP001493,2019-10-25,Outstanding Performance
PRO000445,EMP001495,2023-01-09,Years of Service
PRO000446,EMP001498,2019-08-08,Years of Service
PRO000447,EMP001499,2024-04-28,Department Expansion
PRO000448,EMP001500,2023-04-27,Years of Service
PRO000449,EMP001512,2019-07-09,Internal Recruitment
PRO000450,EMP001513,2025-06-03,Department Expansion
PRO000451,EMP001515,2021-07-25,Department Expansion
PRO000452,EMP001518,2022-08-13,Outstanding Performance
PRO000453,EMP001523,2021-01-24,Leadership Potential
PRO000454,EMP001526,2023-05-10,Outstanding Performance
PRO000455,EMP001528,2021-07-28,Department Expansion
PRO000456,EMP001535,2023-04-20,Internal Recruitment
PRO000457,EMP001537,2022-06-25,Years of Service
PRO000458,EMP001539,2019-05-08,Outstanding Performance
PRO000459,EMP001541,2025-06-16,Internal Recruitment
PRO000460,EMP001542,2023-11-08,Years of Service
PRO000461,EMP001543,2020-12-24,
PRO000462,EMP001545,2025-03-04,Leadership Potential
PRO000463,EMP001546,2024-06-09,Years of Service
PRO000464,EMP001548,2019-12-25,Department Expansion
PRO000465,EMP001554,2020-04-20,Department Expansion
PRO000466,EMP001566,2024-04-12,Department Expansion
PRO000467,EMP001569,2025-09-25,Internal Recruitment
PRO000468,EMP001575,2025-01-05,Outstanding Performance
PRO000469,EMP001582,2021-06-10,Years of Service
PRO000470,EMP001583,2022-12-04,Internal Recruitment
PRO000471,EMP001585,2023-05-17,Excellent
PRO000472,EMP001588,2025-01-16,Transfer
PRO000473,EMP001589,2021-07-20,Years of Service
PRO000474,EMP001590,2025-12-10,Department Expansion
PRO000475,EMP001611,2023-10-17,Years of Service
PRO000476,EMP001612,2019-11-21,Outstanding Performance
PRO000477,EMP001615,2025-04-25,Years of Service
PRO000478,EMP001616,2022-07-21,Years of Service
PRO000479,EMP001621,2022-08-28,Outstanding Performance
PRO000480,EMP001623,2019-10-14,Years of Service
PRO000481,EMP001625,2019-09-14,Internal Recruitment
PRO000482,EMP001626,2022-02-03,Leadership Potential
PRO000483,EMP001627,2022-07-09,Outstanding Performance
PRO000484,EMP001629,2024-11-13,Department Expansion
PRO000485,EMP001631,2023-07-11,Department Expansion
PRO000486,EMP001633,2024-06-28,Department Expansion
PRO000487,EMP001636,2021-09-17,Internal Recruitment
PRO000488,EMP001643,2024-03-13,Outstanding Performance
PRO000489,EMP001646,2022-02-16,
PRO000490,EMP001648,2020-11-12,Outstanding Performance
PRO000491,EMP001650,2019-05-07,Outstanding Performance
PRO000492,EMP001653,2021-01-05,Internal Recruitment
PRO000493,EMP001659,2019-02-01,Outstanding Performance
PRO000494,EMP001660,2023-10-06,Leadership Potential
PRO000495,EMP001661,2025-09-10,Department Expansion
PRO000496,EMP001664,2024-04-01,Years of Service
PRO000497,EMP001671,2019-04-07,Outstanding Performance
PRO000498,EMP001673,2022-03-03,Internal Recruitment
PRO000499,EMP001678,2022-07-27,Department Expansion
PRO000500,EMP001682,2020-05-08,Years of Service
PRO000501,EMP001683,2021-12-15,Outstanding Performance
PRO000502,EMP001686,2021-01-26,Internal Recruitment
PRO000503,EMP001687,2024-03-10,Internal Recruitment
PRO000504,EMP001695,2023-04-14,N/A
PRO000505,EMP001700,2025-02-14,Internal Recruitment
PRO000506,EMP001701,2021-08-19,Internal Recruitment
PRO000507,EMP001702,2019-02-12,Leadership Potential
PRO000508,EMP001712,2024-08-22,Years of Service
PRO000509,EMP001713,2023-09-26,Years of Service
PRO000510,EMP001716,2022-03-01,Department Expansion
PRO000511,EMP001717,2021-12-10,Leadership Potential
PRO000512,EMP001718,2025-01-11,Leadership Potential
PRO000513,EMP001721,2022-12-07,Outstanding Performance
PRO000514,EMP001727,2024-07-24,Years of Service
PRO000515,EMP001729,2021-02-23,Internal Recruitment
PRO000516,EMP001734,2019-01-19,Promotion
PRO000517,EMP001735,2022-12-10,Outstanding Performance
PRO000518,EMP001738,2022-05-12,Years of Service
PRO000519,EMP001740,2020-07-01,Internal Recruitment
PRO000520,EMP001741,2023-01-11,Years of Service
PRO000521,EMP001743,2024-04-12,Internal Recruitment
PRO000522,EMP001747,2024-03-16,Years of Service
PRO000523,EMP001748,2022-02-01,Department Expansion
PRO000524,EMP001753,2019-10-13,Department Expansion
PRO000525,EMP001758,2021-12-09,Leadership Potential
PRO000526,EMP001760,2025-07-26,Promotion
PRO000527,EMP001763,2025-05-19,Leadership Potential
PRO000528,EMP001776,2022-01-16,Leadership Potential
PRO000529,EMP001777,2023-02-09,Internal Recruitment
PRO000530,EMP001779,2021-03-14,Leadership Potential
PRO000531,EMP001782,2023-12-11,Years of Service
PRO000532,EMP001783,2021-11-01,Years of Service
PRO000533,EMP001786,2023-05-15,
