TrainingID,EmployeeID,TrainingCourse,TrainingProvider,TrainingDate,Result
TRN000057,EMP000027,Health and Safety,Geoflex Academy,2022-06-04,Completed
TRN000058,EMP000027,Risk Management,Deloitte,2021-09-15,Completed
TRN000059,EMP000027,Risk Management,Deloitte,2024-08-07,Failed
TRN000060,EMP000029,Leadership Development,Geoflex Academy,2019-01-25,Completed
TRN000061,EMP000029,Lean Manufacturing,Geoflex Academy,2023-05-11,Failed
TRN000062,EMP000029,Leadership Development,Udemy,2019-02-26,Completed
TRN000063,EMP000029,Project Management,Udemy,2023-07-03,Completed
TRN000064,EMP000030,Leadership Development,Coursera,2022-05-22,Completed
TRN000065,EMP000030,Compliance Training,Microsoft,2023-10-02,In Progress
TRN000066,EMP000030,Health and Safety,Deloitte,2020-05-01,In Progress
TRN000067,EMP000030,Leadership Development,Geoflex Academy,2021-06-17,Completed
TRN000068,EMP000030,Leadership Development,Geoflex Academy,2023-08-13,Completed
TRN000069,EMP000031,Data Analytics,Microsoft,2022-06-28,Completed
TRN000070,EMP000031,Leadership Development,Coursera,2024-04-11,Completed
TRN000071,EMP000032,Customer Service,Udemy,2025-09-09,Completed
TRN000072,EMP000032,Lean Manufacturing,Deloitte,2020-11-02,Completed
TRN000073,EMP000034,Project Management,Coursera,2022-04-17,Failed
TRN000074,EMP000034,Data Analytics,Udemy,2020-05-10,Completed
TRN000075,EMP000034,Cybersecurity Awareness,Udemy,2021-09-16,In Progress
TRN000076,EMP000034,Leadership Development,Udemy,2021-05-22,Failed
TRN000077,EMP000035,Cybersecurity Awareness,KPMG,2022-03-28,Failed
TRN000078,EMP000036,Quality Management,Microsoft,2022-08-20,Completed
TRN000079,EMP000036,Data Analytics,Geoflex Academy,2025-09-11,In Progress
TRN000080,EMP000036,Health and Safety,KPMG,2025-03-08,Completed
TRN000081,EMP000036,Customer Service,KPMG,2019-01-17,Failed
TRN000082,EMP000038,Customer Service,,2023-09-06,Completed
TRN000083,EMP000038,Leadership Development,Geoflex Academy,2019-08-05,Failed
TRN000084,EMP000038,Cybersecurity Awareness,KPMG,2024-01-04,Failed
TRN000085,EMP000039,Cybersecurity Awareness,KPMG,2025-10-22,Completed
TRN000086,EMP000039,Leadership Development,Geoflex Academy,2023-03-27,Completed
TRN000087,EMP000040,Leadership Development,Geoflex Academy,2024-05-18,Completed
TRN000088,EMP000040,Compliance Training,Geoflex Academy,2020-03-19,Completed
TRN000089,EMP000040,Health and Safety,Coursera,2024-09-25,Completed
TRN000090,EMP000040,Health and Safety,KPMG,2025-07-12,Completed
TRN000091,EMP000040,Project Management,KPMG,2025-12-08,Completed
TRN000092,EMP000041,Quality Management,Coursera,2019-05-05,Completed
TRN000093,EMP000041,Quality Management,Coursera,2022-10-10,Failed
TRN000094,EMP000041,Lean Manufacturing,Deloitte,2020-05-16,Completed
TRN000095,EMP000041,Lean Manufacturing,Coursera,2025-10-23,In Progress
TRN000096,EMP000042,Lean Manufacturing,Deloitte,2020-12-26,Completed
TRN000097,EMP000043,Cybersecurity Awareness,KPMG,2021-10-02,In Progress
TRN000098,EMP000043,Risk Management,Udemy,2023-01-20,Completed
TRN000099,EMP000045,Project Management,KPMG,2022-08-09,Completed
TRN000100,EMP000046,Compliance Training,KPMG,2021-08-12,In Progress
TRN000101,EMP000047,Data Analytics,Coursera,2020-06-27,Completed
TRN000102,EMP000047,Project Management,Geoflex Academy,2022-03-06,Completed
TRN000103,EMP000047,Project Management,Coursera,2021-02-26,Failed
TRN000104,EMP000047,Cybersecurity Awareness,Geoflex Academy,2022-02-09,Completed
TRN000105,EMP000047,Leadership Development,Coursera,2021-02-02,Completed
TRN000106,EMP000051,Cybersecurity Awareness,KPMG,2022-04-01,Completed
TRN000107,EMP000051,Customer Service,Microsoft,2022-09-23,Completed
TRN000108,EMP000051,Customer Service,Deloitte,2020-08-07,Failed
TRN000109,EMP000052,Customer Service,Deloitte,2021-01-22,Completed
TRN000110,EMP000052,Leadership Development,Udemy,2025-08-07,Failed
TRN000111,EMP000052,Risk Management,Udemy,2022-02-17,Completed
TRN000112,EMP000052,Lean Manufacturing,Deloitte,2019-07-16,Failed
TRN000113,EMP000053,Health and Safety,KPMG,2022-07-03,Completed
TRN000114,EMP000053,Data Analytics,Deloitte,2024-03-02,Failed
TRN000115,EMP000053,Project Management,Deloitte,2020-01-27,Completed
TRN000116,EMP000053,Customer Service,KPMG,2025-03-22,Failed
TRN000117,EMP000054,Lean Manufacturing,Deloitte,2022-07-17,In Progress
TRN000118,EMP000054,Project Management,KPMG,2024-08-07,Completed
TRN000119,EMP000057,Health and Safety,Geoflex Academy,2020-05-17,In Progress
TRN000120,EMP000061,Quality Management,Deloitte,2023-03-01,Failed
TRN000121,EMP000061,Health and Safety,Microsoft,2019-08-01,In Progress
TRN000122,EMP000063,Lean Manufacturing,Udemy,2019-01-18,Completed
TRN000123,EMP000063,Compliance Training,Geoflex Academy,2024-08-01,Completed
TRN000124,EMP000063,Quality Management,Udemy,2022-03-20,Completed
TRN000125,EMP000064,Compliance Training,KPMG,2025-04-04,Completed
TRN000126,EMP000064,Customer Service,Microsoft,2021-08-26,Failed
TRN000127,EMP000064,Project Management,,2024-10-15,Failed
TRN000128,EMP000064,Quality Management,KPMG,2025-04-27,In Progress
TRN000129,EMP000064,Compliance Training,Deloitte,2019-10-28,Completed
TRN000130,EMP000065,Quality Management,Udemy,2021-05-20,Completed
TRN000131,EMP000065,Compliance Training,Microsoft,2024-05-07,In Progress
TRN000132,EMP000065,Health and Safety,Microsoft,2020-06-03,Completed
TRN000133,EMP000065,Compliance Training,Geoflex Academy,2025-08-22,Failed
TRN000134,EMP000065,Customer Service,Microsoft,2020-03-13,Failed
TRN000135,EMP000066,Project Management,KPMG,2023-08-22,Completed
TRN000136,EMP000066,Risk Management,Geoflex Academy,2025-08-23,Completed
TRN000137,EMP000067,Quality Management,Udemy,2021-11-24,Completed
TRN000138,EMP000067,Cybersecurity Awareness,Microsoft,2022-06-21,Completed
TRN000139,EMP000068,Leadership Development,KPMG,2022-07-16,Completed
TRN000140,EMP000068,Customer Service,Microsoft,2023-12-14,Completed
TRN000141,EMP000069,Customer Service,Microsoft,2019-05-26,Failed
TRN000142,EMP000069,Data Analytics,Coursera,2022-12-07,Completed
TRN000143,EMP000069,Compliance Training,KPMG,2020-06-20,Failed
TRN000144,EMP000071,Risk Management,Deloitte,2025-08-25,Failed
TRN000145,EMP000071,Quality Management,KPMG,2025-10-23,In Progress
TRN000146,EMP000072,Project Management,Geoflex Academy,2023-01-07,Completed
TRN000147,EMP000072,Leadership Development,Deloitte,2023-04-22,Completed
TRN000148,EMP000072,Risk Management,Udemy,2023-11-17,Completed
TRN000149,EMP000072,Cybersecurity Awareness,Coursera,2024-10-21,Completed
TRN000150,EMP000072,Quality Management,Coursera,2025-03-17,Failed
TRN000151,EMP000074,Cybersecurity Awareness,KPMG,2022-04-21,Completed
TRN000152,EMP000074,Health and Safety,Coursera,2022-05-13,Failed
TRN000153,EMP000074,Risk Management,Deloitte,2020-01-01,In Progress
TRN000154,EMP000074,Cybersecurity Awareness,Deloitte,2025-05-01,In Progress
TRN000155,EMP000075,Project Management,Deloitte,2020-02-13,Failed
TRN000156,EMP000075,Cybersecurity Awareness,Deloitte,2020-11-07,In Progress
TRN000157,EMP000075,Cybersecurity Awareness,Microsoft,2019-09-11,Failed
TRN000158,EMP000076,Quality Management,Coursera,2019-07-05,Completed
TRN000159,EMP000076,Cybersecurity Awareness,Microsoft,2020-10-03,Completed
TRN000160,EMP000076,Leadership Development,Udemy,2025-06-18,Completed
TRN000161,EMP000076,Customer Service,Deloitte,2020-01-13,In Progress
TRN000162,EMP000076,Customer Service,Udemy,2023-10-28,Completed
TRN000163,EMP000077,Risk Management,KPMG,2024-02-16,Completed
TRN000164,EMP000077,Health and Safety,Udemy,2025-06-25,Completed
TRN000165,EMP000077,Cybersecurity Awareness,KPMG,2024-06-02,Completed
TRN000166,EMP000077,Risk Management,KPMG,2019-08-03,Completed
TRN000167,EMP000078,Health and Safety,Udemy,2020-09-20,Completed
TRN000168,EMP000078,Compliance Training,Microsoft,2021-08-04,Completed
TRN000169,EMP000078,Customer Service,Geoflex Academy,2022-06-19,Completed
TRN000170,EMP000079,Leadership Development,Coursera,2020-08-22,Completed
TRN000171,EMP000079,Risk Management,Geoflex Academy,2024-07-23,Completed
TRN000172,EMP000079,Project Management,Deloitte,2025-04-01,Completed
TRN000173,EMP000079,Health and Safety,Deloitte,2022-06-12,Failed
TRN000174,EMP000079,Lean Manufacturing,Microsoft,2021-12-05,Completed
TRN000175,EMP000080,Data Analytics,Deloitte,2023-10-23,Failed
TRN000176,EMP000080,Risk Management,Deloitte,2022-11-26,In Progress
TRN000177,EMP000081,Compliance Training,Udemy,2023-07-26,Failed
TRN000178,EMP000081,Quality Management,Udemy,2022-11-08,Completed
TRN000179,EMP000081,Leadership Development,KPMG,2023-07-01,Completed
TRN000180,EMP000081,Quality Management,Deloitte,2024-03-14,Completed
TRN000181,EMP000081,Health and Safety,Udemy,2021-11-07,Completed
TRN000182,EMP000082,Risk Management,Microsoft,2025-04-10,In Progress
TRN000183,EMP000083,Cybersecurity Awareness,Coursera,2024-11-19,Failed
TRN000184,EMP000083,Customer Service,Microsoft,2022-02-15,Completed
TRN000185,EMP000084,Data Analytics,Microsoft,2023-11-05,Completed
TRN000186,EMP000084,Customer Service,Deloitte,2025-06-11,Failed
TRN000187,EMP000085,Project Management,KPMG,2019-02-27,In Progress
TRN000188,EMP000085,Customer Service,Deloitte,2024-10-02,Completed
TRN000189,EMP000085,Compliance Training,Deloitte,2021-07-20,In Progress
TRN000190,EMP000085,Compliance Training,KPMG,2023-03-20,Completed
TRN000191,EMP000085,Health and Safety,Microsoft,2020-11-19,Completed
TRN000192,EMP000086,Project Management,KPMG,2022-04-28,Completed
TRN000193,EMP000086,Cybersecurity Awareness,Coursera,2019-07-01,In Progress
TRN000194,EMP000086,Data Analytics,KPMG,2020-02-07,Completed
TRN000195,EMP000086,Leadership Development,Udemy,2019-02-03,Failed
TRN000196,EMP000087,Risk Management,Udemy,2019-08-24,Completed
TRN000197,EMP000089,Customer Service,Deloitte,2023-08-13,Failed
TRN000198,EMP000089,Customer Service,Microsoft,2025-08-15,Completed
TRN000199,EMP000089,Data Analytics,Deloitte,2022-09-08,Completed
TRN000200,EMP000090,Data Analytics,Geoflex Academy,2019-08-28,Completed
TRN000201,EMP000090,Compliance Training,Geoflex Academy,2025-09-14,In Progress
TRN000202,EMP000090,Health and Safety,Geoflex Academy,2022-11-04,Failed
TRN000203,EMP000092,Data Analytics,Microsoft,2023-06-08,Completed
TRN000204,EMP000092,Health and Safety,Deloitte,2024-01-18,Failed
TRN000205,EMP000092,Compliance Training,Udemy,2022-06-17,Completed
TRN000206,EMP000092,Health and Safety,Udemy,2025-02-26,Completed
TRN000207,EMP000093,Compliance Training,Deloitte,2021-06-28,Completed
TRN000208,EMP000093,Compliance Training,Microsoft,2023-09-04,Failed
TRN000209,EMP000094,Cybersecurity Awareness,Coursera,2023-05-10,Completed
TRN000210,EMP000094,Lean Manufacturing,Coursera,2023-08-01,Completed
TRN000211,EMP000094,Cybersecurity Awareness,Geoflex Academy,2023-08-09,Completed
TRN000212,EMP000094,Data Analytics,Microsoft,2024-03-13,Completed
TRN000213,EMP000094,Leadership Development,KPMG,2022-05-01,In Progress
TRN000214,EMP000096,Data analytics,Geoflex Academy,2023-06-23,Completed
TRN000215,EMP000096,Cybersecurity Awareness,Deloitte,2023-04-21,Completed
TRN000216,EMP000096,Cybersecurity Awareness,Microsoft,2021-02-06,Completed
TRN000217,EMP000097,Project Management,Udemy,2022-07-20,In Progress
TRN000218,EMP000097,Leadership Development,KPMG,2021-10-10,Completed
TRN000219,EMP000097,Project Management,Geoflex Academy,2025-09-09,Completed
TRN000220,EMP000097,Project Management,Geoflex Academy,2025-10-15,In Progress
TRN000221,EMP000098,Compliance Training,KPMG,2023-02-06,In Progress
TRN000222,EMP000098,Project Management,KPMG,2022-05-01,Failed
TRN000223,EMP000098,Customer Service,Geoflex Academy,2020-11-08,Failed
TRN000224,EMP000099,Cybersecurity Awareness,Geoflex Academy,2025-10-14,In Progress
TRN000225,EMP000099,Lean Manufacturing,Geoflex Academy,2021-12-13,Completed
TRN000226,EMP000099,Lean Manufacturing,Udemy,2023-12-16,Completed
TRN000227,EMP000100,Health and Safety,Geoflex Academy,2024-03-05,Failed
TRN000228,EMP000100,Compliance Training,KPMG,2022-01-15,Failed
TRN000229,EMP000100,Compliance Training,Microsoft,2023-07-24,In Progress
TRN000230,EMP000100,Quality Management,KPMG,2022-01-28,Completed
TRN000231,EMP000100,Lean Manufacturing,Coursera,2024-03-19,Completed
TRN000232,EMP000101,Lean Manufacturing,KPMG,2022-06-06,Failed
TRN000233,EMP000101,Data Analytics,Deloitte,2024-06-11,In Progress
TRN000234,EMP000101,Compliance Training,KPMG,2023-07-28,Completed
TRN000235,EMP000102,Cybersecurity Awareness,Deloitte,2021-09-05,Failed
TRN000236,EMP000102,Project Management,Geoflex Academy,2021-02-13,Completed
TRN000237,EMP000103,Compliance Training,Udemy,2024-04-24,Completed
TRN000238,EMP000103,Risk Management,Microsoft,2020-07-27,Completed
TRN000239,EMP000103,Data Analytics,Geoflex Academy,2023-08-11,Completed
TRN000240,EMP000103,Data Analytics,Udemy,2019-06-03,Completed
TRN000241,EMP000104,Compliance Training,Microsoft,2019-06-27,Failed
TRN000242,EMP000104,Cybersecurity Awareness,Geoflex Academy,2020-01-12,Failed
TRN000243,EMP000104,Health and Safety,Udemy,2021-08-15,In Progress
TRN000244,EMP000104,Quality Management,Microsoft,2020-06-27,Completed
TRN000245,EMP000105,Health and Safety,Microsoft,2020-05-03,Completed
TRN000246,EMP000105,Leadership Development,KPMG,2019-09-24,In Progress
TRN000247,EMP000105,Customer Service,Udemy,2021-09-10,Failed
TRN000248,EMP000105,Data Analytics,Geoflex Academy,2022-09-24,In Progress
TRN000249,EMP000105,Project Management,KPMG,2021-04-03,Completed
TRN000250,EMP000106,Risk Management,Deloitte,2024-12-04,Failed
TRN000251,EMP000106,Leadership Development,Geoflex Academy,2019-06-09,Completed
TRN000252,EMP000110,Data analytics,Coursera,2023-12-22,Completed
TRN000253,EMP000110,Quality Management,Geoflex Academy,2023-12-24,In Progress
TRN000254,EMP000110,Lean Manufacturing,Coursera,2019-07-05,Completed
TRN000255,EMP000111,Data Analytics,Microsoft,2023-01-12,Completed
TRN000256,EMP000113,Health and Safety,Coursera,2025-03-27,Completed
TRN000257,EMP000113,Health and Safety,Microsoft,2020-10-18,In Progress
TRN000258,EMP000114,Risk Management,Deloitte,2025-06-24,Completed
TRN000259,EMP000115,Cyber Security,KPMG,2020-12-09,Failed
TRN000260,EMP000117,Leadership Development,Coursera,2022-12-12,In Progress
TRN000261,EMP000117,Data Analytics,Microsoft,2021-07-14,Failed
TRN000262,EMP000117,Data Analytics,Udemy,2019-07-16,Completed
TRN000263,EMP000117,Project Management,Deloitte,2019-08-02,In Progress
TRN000264,EMP000118,Lean Manufacturing,Microsoft,2024-08-11,Completed
TRN000265,EMP000119,Health and Safety,Udemy,2020-04-22,Completed
TRN000266,EMP000119,Customer Service,Geoflex Academy,2022-02-23,Completed
TRN000267,EMP000121,Lean Manufacturing,KPMG,2023-03-23,Completed
TRN000268,EMP000121,Risk Management,KPMG,2025-08-15,In Progress
TRN000269,EMP000121,Quality Management,Deloitte,2022-06-13,In Progress
TRN000270,EMP000122,Data Analytics,Microsoft,2021-02-22,Failed
TRN000271,EMP000122,Lean Manufacturing,Deloitte,2022-06-06,Completed
TRN000272,EMP000122,Health and Safety,Microsoft,2024-09-27,Completed
TRN000273,EMP000122,Lean Manufacturing,Geoflex Academy,2020-09-08,Failed
TRN000274,EMP000122,Risk Management,KPMG,2024-12-20,Failed
TRN000275,EMP000123,Data Analytics,Microsoft,2025-04-19,In Progress
TRN000276,EMP000123,Customer Service,Deloitte,2022-08-11,Completed
TRN000277,EMP000123,Health and Safety,Geoflex Academy,2020-12-10,Completed
TRN000278,EMP000125,Risk Management,Geoflex Academy,2022-04-01,Completed
TRN000279,EMP000125,Compliance Training,Geoflex Academy,2025-02-01,Completed
TRN000280,EMP000125,Cybersecurity Awareness,KPMG,2021-07-25,Failed
TRN000281,EMP000125,Health and Safety,Deloitte,2020-09-12,Completed
TRN000282,EMP000126,Data Analytics,Deloitte,2020-08-16,Failed
TRN000283,EMP000126,Risk Management,KPMG,2025-07-07,Completed
TRN000284,EMP000126,Compliance Training,KPMG,2022-11-11,Completed
TRN000285,EMP000127,Quality Management,Microsoft,2023-10-21,Completed
TRN000286,EMP000130,Cybersecurity Awareness,Microsoft,2024-07-19,Completed
TRN000287,EMP000130,Compliance Training,Udemy,2019-11-03,Completed
TRN000288,EMP000130,Compliance Training,Udemy,2019-02-13,Completed
TRN000289,EMP000133,Data Analytics,Coursera,2020-03-02,Completed
TRN000290,EMP000133,Risk Management,Microsoft,2019-02-11,Completed
TRN000291,EMP000133,Lean Manufacturing,Coursera,2020-02-01,Completed
TRN000292,EMP000133,Leadership Development,Geoflex Academy,2022-08-07,Completed
TRN000293,EMP000133,Project Management,Deloitte,2022-10-18,Completed
TRN000294,EMP000134,Compliance Training,KPMG,2022-08-15,Completed
TRN000295,EMP000134,Quality Management,Geoflex Academy,2021-04-25,Failed
TRN000296,EMP000135,Data Analytics,Microsoft,2024-05-15,Completed
TRN000297,EMP000135,Cybersecurity Awareness,Microsoft,2021-06-14,Failed
TRN000298,EMP000135,Health and Safety,Udemy,2020-06-14,Completed
TRN000299,EMP000135,Project Management,Coursera,2022-08-20,Failed
TRN000300,EMP000136,Data Analytics,KPMG,2025-01-27,In Progress
TRN000301,EMP000136,Lean Manufacturing,Coursera,2024-06-16,Completed
TRN000302,EMP000136,Health and Safety,Deloitte,2019-10-16,Completed
TRN000303,EMP000136,Data analytics,Geoflex Academy,2023-01-27,Failed
TRN000304,EMP000136,Risk Management,Deloitte,2023-11-05,In Progress
TRN000305,EMP000137,Cybersecurity Awareness,Microsoft,2020-08-14,Failed
TRN000306,EMP000137,Compliance Training,Coursera,2023-08-13,Failed
TRN000307,EMP000138,Cybersecurity Awareness,Udemy,2024-04-05,Completed
TRN000308,EMP000138,Project Management,Coursera,2022-08-08,In Progress
TRN000309,EMP000139,Quality Management,Udemy,2021-02-05,Failed
TRN000310,EMP000140,Lean Manufacturing,Microsoft,2019-09-17,Completed
TRN000311,EMP000140,Health and Safety,Microsoft,2025-11-21,In Progress
TRN000312,EMP000140,Health and Safety,Coursera,2020-03-25,Completed
TRN000313,EMP000140,Health and Safety,Udemy,2023-04-21,In Progress
TRN000314,EMP000141,Lean Manufacturing,Microsoft,2024-05-14,In Progress
TRN000315,EMP000141,Cybersecurity Awareness,KPMG,2024-08-02,Completed
TRN000316,EMP000141,Compliance Training,Deloitte,2022-12-06,In Progress
TRN000317,EMP000141,Leadership Development,Coursera,2024-08-28,Completed
TRN000318,EMP000142,Health and Safety,KPMG,2025-07-19,Completed
TRN000319,EMP000142,Customer Service,Microsoft,2019-09-12,In Progress
TRN000320,EMP000142,Customer Service,Deloitte,2020-11-27,In Progress
TRN000321,EMP000142,Health and Safety,KPMG,2022-08-09,Completed
TRN000322,EMP000142,Lean Manufacturing,Microsoft,2024-09-22,Failed
TRN000323,EMP000143,Lean Manufacturing,Microsoft,2022-11-09,Completed
TRN000324,EMP000144,Quality Management,Microsoft,2019-05-12,Completed
TRN000325,EMP000144,Quality Management,Coursera,2024-01-10,Completed
TRN000326,EMP000145,Data Analytics,Microsoft,2024-05-26,Completed
TRN000327,EMP000145,Cybersecurity Awareness,Udemy,2021-11-26,Completed
TRN000328,EMP000145,Health and Safety,Geoflex Academy,2022-03-19,Failed
TRN000329,EMP000145,Data Analytics,Microsoft,2020-07-20,Failed
TRN000330,EMP000145,Quality Management,Udemy,2019-02-04,Completed
TRN000331,EMP000146,Health and Safety,KPMG,2022-11-21,Failed
TRN000332,EMP000146,Compliance Training,KPMG,2023-06-05,Completed
TRN000333,EMP000146,Compliance Training,KPMG,2024-02-11,Completed
TRN000334,EMP000146,Compliance Training,Geoflex Academy,2020-01-10,Completed
TRN000335,EMP000147,Quality Management,Geoflex Academy,2021-02-04,Completed
TRN000336,EMP000148,Project Management,Deloitte,2021-03-15,Completed
TRN000337,EMP000149,Cybersecurity Awareness,Microsoft,2023-04-25,Completed
TRN000338,EMP000149,Cybersecurity Awareness,Microsoft,2020-03-25,Completed
TRN000339,EMP000149,Cybersecurity Awareness,Microsoft,2021-09-03,Completed
TRN000340,EMP000151,Health and Safety,Geoflex Academy,2019-06-06,Completed
TRN000341,EMP000151,Compliance Training,Microsoft,2024-06-20,Completed
TRN000342,EMP000151,Compliance Training,Geoflex Academy,2019-07-18,In Progress
TRN000343,EMP000151,Customer Service,Coursera,2022-11-11,Completed
TRN000344,EMP000151,Risk Management,KPMG,2024-07-01,Completed
TRN000345,EMP000152,Cybersecurity Awareness,Deloitte,2024-03-16,Completed
TRN000346,EMP000152,Project Management,Microsoft,2024-10-13,Completed
TRN000347,EMP000152,Health and Safety,KPMG,2021-05-26,Completed
TRN000348,EMP000152,Risk Management,Udemy,2022-02-04,Failed
TRN000349,EMP000153,Risk Management,Microsoft,2024-11-21,Completed
TRN000350,EMP000153,Cybersecurity Awareness,KPMG,2022-04-16,Completed
TRN000351,EMP000153,Customer Service,Deloitte,2023-02-02,Completed
TRN000352,EMP000153,Risk Management,KPMG,2020-05-04,Failed
TRN000353,EMP000153,Quality Management,Coursera,2023-06-26,Completed
TRN000354,EMP000154,Quality Management,Udemy,2022-01-18,In Progress
TRN000355,EMP000154,Customer Service,Udemy,2023-10-20,Completed
TRN000356,EMP000154,Compliance Training,Coursera,2023-11-24,Completed
TRN000357,EMP000154,Health and Safety,KPMG,2019-10-05,In Progress
TRN000358,EMP000154,Data Analytics,Coursera,2020-01-05,Completed
TRN000359,EMP000156,Health and Safety,Geoflex Academy,2021-12-07,Completed
TRN000360,EMP000156,Project Management,KPMG,2023-04-20,Completed
TRN000361,EMP000156,Quality Management,Deloitte,2023-07-26,Failed
TRN000362,EMP000157,Health and Safety,KPMG,2024-07-25,Failed
TRN000363,EMP000157,Health and Safety,Deloitte,2019-10-28,Completed
TRN000364,EMP000157,Risk Management,KPMG,2025-03-14,Completed
TRN000365,EMP000157,Lean Manufacturing,Coursera,2023-10-21,In Progress
TRN000366,EMP000158,Leadership Development,Geoflex Academy,2021-08-07,Completed
TRN000367,EMP000159,Health and Safety,Microsoft,2020-04-28,In Progress
TRN000368,EMP000159,Risk Management,Udemy,2019-12-12,Failed
TRN000369,EMP000160,Quality Management,Udemy,2024-05-02,Completed
TRN000370,EMP000161,Cybersecurity Awareness,Deloitte,2022-05-03,Completed
TRN000371,EMP000161,Risk Management,Coursera,2019-04-21,Completed
TRN000372,EMP000161,Quality Management,Udemy,2023-10-10,Completed
TRN000373,EMP000161,Compliance Training,Microsoft,2024-08-09,Completed
TRN000374,EMP000161,Cybersecurity Awareness,Deloitte,2025-02-18,In Progress
TRN000375,EMP000162,Compliance Training,Microsoft,2023-12-14,Failed
TRN000376,EMP000162,Customer Service,Microsoft,2022-08-03,Completed
TRN000377,EMP000162,Customer Service,Geoflex Academy,2019-09-28,Completed
TRN000378,EMP000162,Cybersecurity Awareness,Microsoft,2023-12-28,In Progress
TRN000379,EMP000162,Health and Safety,Coursera,2021-03-25,Completed
TRN000380,EMP000163,Health and Safety,Microsoft,2024-09-02,Completed
TRN000381,EMP000163,Compliance Training,Deloitte,2021-08-13,In Progress
