LeaveID,EmployeeID,LeaveType,StartDate,EndDate,DurationDays,ApprovalStatus
LEV000083,EMP000038,Maternity Leave,2020-07-10,2020-07-28,18,Approved
LEV000084,EMP000039,Sick Leave,2019-10-23,2019-11-20,28,Approved
LEV000085,EMP000039,Maternity Leave,2022-11-18,2022-11-20,2,Approved
LEV000086,EMP000040,Sick Leave,2025-12-05,2025-12-25,20,Approved
LEV000087,EMP000040,Annual Leave,2025-01-16,2025-02-09,24,Approved
LEV000088,EMP000042,Maternity Leave,2024-12-01,2024-12-20,19,Approved
LEV000089,EMP000043,Maternity Leave,2023-02-05,2023-03-07,30,Rejected
LEV000090,EMP000043,Maternity Leave,2022-02-05,2022-02-16,11,Approved
LEV000091,EMP000043,Study Leave,2022-12-17,2023-01-11,25,Approved
LEV000092,EMP000043,Annual Leave,2022-03-11,2022-04-10,30,Approved
LEV000093,EMP000045,Annual Leave,2021-07-10,2021-08-07,28,Rejected
LEV000094,EMP000045,Sick Leave,2022-04-18,2022-04-27,9,Approved
LEV000095,EMP000046,Annual Leave,2019-12-18,2019-11-30,18,Approved
LEV000096,EMP000046,Study Leave,2024-11-27,2024-12-10,13,Approved
LEV000097,EMP000047,Sick Leave,2022-01-04,2022-01-26,22,Approved
LEV000098,EMP000047,Sick Leave,2021-08-01,2021-08-11,10,Rejected
LEV000099,EMP000047,Sick Leave,2025-01-07,2025-01-27,20,Approved
LEV000100,EMP000047,Compassionate Leave,2024-06-15,2024-07-07,22,Pending
LEV000101,EMP000048,Compassionate Leave,2022-05-09,2022-06-05,27,Pending
LEV000102,EMP000048,Sick Leave,2024-02-21,2024-03-15,23,Approved
LEV000103,EMP000048,Annual Leave,2024-10-21,2024-10-30,9,Approved
LEV000104,EMP000050,Compassionate Leave,2019-08-01,2019-08-04,3,Approved
LEV000105,EMP000050,Annual Leave,2024-09-17,2024-10-13,26,Rejected
LEV000106,EMP000050,Paternity Leave,2021-04-29,2021-05-10,11,Approved
LEV000107,EMP000051,Sick Leave,2023-05-05,2023-05-15,10,Pending
LEV000108,EMP000051,Sick Leave,2021-12-18,2022-01-06,19,Pending
LEV000109,EMP000051,Compassionate Leave,2020-05-04,2020-05-10,6,Approved
LEV000110,EMP000052,Maternity Leave,2025-10-26,2025-10-31,5,Rejected
LEV000111,EMP000052,Paternity Leave,2020-04-19,2020-05-19,30,Approved
LEV000112,EMP000053,Maternity Leave,2023-04-17,2023-05-10,23,Approved
LEV000113,EMP000053,Compassionate Leave,2019-09-14,2019-09-16,2,Approved
LEV000114,EMP000054,Annual Leave,2025-04-05,2025-05-03,28,Approved
LEV000115,EMP000054,Maternity Leave,2021-03-08,2021-03-21,13,Approved
LEV000116,EMP000054,Paternity Leave,2024-01-22,2024-02-05,14,Approved
LEV000117,EMP000054,Paternity Leave,2023-08-14,2023-09-09,26,Rejected
LEV000118,EMP000055,Study Leave,2020-01-05,2020-01-28,23,Approved
LEV000119,EMP000055,Paternity Leave,2023-04-14,2023-04-25,11,Approved
LEV000120,EMP000056,Maternity Leave,2023-07-01,2023-07-08,7,Approved
LEV000121,EMP000056,Paternity Leave,2025-09-03,2025-09-08,5,Approved
LEV000122,EMP000058,Study Leave,2023-05-30,2023-06-01,2,Approved
LEV000123,EMP000058,Annual Leave,2023-12-30,2024-01-18,19,Approved
LEV000124,EMP000059,Maternity Leave,2022-12-04,2022-12-26,22,Approved
LEV000125,EMP000059,Vacation,2021-08-31,2021-09-07,7,Rejected
LEV000126,EMP000059,Paternity Leave,2020-05-19,2020-06-01,13,Approved
LEV000127,EMP000059,Compassionate Leave,2020-12-29,2021-01-27,29,Approved
LEV000128,EMP000060,Sick Leave,2019-08-05,2019-09-01,27,Approved
LEV000129,EMP000060,Sick Leave,2022-09-01,2022-09-03,2,Rejected
LEV000130,EMP000061,Maternity Leave,2024-12-06,2024-12-16,10,Approved
LEV000131,EMP000061,Maternity Leave,2024-10-31,2024-11-28,28,Approved
LEV000132,EMP000061,Compassionate Leave,2024-01-25,2024-02-05,11,Approved
LEV000133,EMP000062,Maternity Leave,2021-09-15,2021-10-08,23,Pending
LEV000134,EMP000062,Annual Leave,2022-01-12,2022-01-23,11,Approved
LEV000135,EMP000062,Sick Leave,2020-07-30,2020-08-04,5,Approved
LEV000136,EMP000063,Study Leave,2022-12-05,2022-12-08,3,Approved
LEV000137,EMP000064,Paternity Leave,2024-11-07,2024-11-19,12,Approved
LEV000138,EMP000064,Annual Leave,2025-09-12,2025-09-28,16,Approved
LEV000139,EMP000064,Compassionate Leave,2021-06-10,2021-07-08,28,Approved
LEV000140,EMP000064,Maternity Leave,2023-09-24,2023-10-22,28,Approved
LEV000141,EMP000065,Annual Leave,2021-01-05,2021-01-08,3,Approved
LEV000142,EMP000065,Compassionate Leave,2022-11-10,2022-11-16,6,Approved
LEV000143,EMP000065,Compassionate Leave,2023-05-22,2023-05-31,9,Approved
LEV000144,EMP000065,Study Leave,2019-03-14,2019-04-02,19,Approved
LEV000145,EMP000066,Maternity Leave,2025-04-05,2025-04-28,23,Approved
LEV000146,EMP000066,Compassionate Leave,2023-09-13,2023-09-25,12,Approved
LEV000147,EMP000067,,2025-05-16,2025-06-08,23,Approved
LEV000148,EMP000067,Maternity Leave,2025-09-06,2025-09-17,11,Rejected
LEV000149,EMP000067,Study Leave,2020-01-08,2020-02-05,28,Pending
LEV000150,EMP000067,Paternity Leave,2020-03-10,2020-03-25,15,Approved
LEV000151,EMP000068,Compassionate Leave,2022-05-06,2022-05-21,15,Approved
LEV000152,EMP000070,Study Leave,2024-10-07,2024-11-04,28,Pending
LEV000153,EMP000070,Maternity Leave,2023-03-18,2023-04-06,19,Approved
LEV000154,EMP000070,Annual Leave,2022-07-01,2022-07-12,11,Rejected
LEV000155,EMP000071,Study Leave,2020-11-05,2020-12-03,28,Pending
LEV000156,EMP000071,Annual Leave,2022-02-11,2022-03-03,20,Approved
LEV000157,EMP000071,Study Leave,2024-04-09,2024-04-25,16,Pending
LEV000158,EMP000071,Annual Leave,2024-03-22,2024-03-23,1,Rejected
LEV000159,EMP000072,Paternity Leave,2022-09-26,2022-10-04,8,Approved
LEV000160,EMP000072,Paternity Leave,2019-02-23,2019-03-23,28,Approved
LEV000161,EMP000072,Compassionate Leave,2019-12-08,2020-01-02,25,Rejected
LEV000162,EMP000073,Sick Leave,2024-11-11,2024-12-07,26,Approved
LEV000163,EMP000073,Annual Leave,2023-03-20,2023-04-07,18,Pending
LEV000164,EMP000073,Annual Leave,2021-11-12,2021-12-08,26,Approved
LEV000165,EMP000073,Study Leave,2019-12-12,2020-01-04,23,Approved
LEV000166,EMP000079,Compassionate Leave,2020-09-17,2020-09-20,3,Rejected
LEV000167,EMP000079,Annual Leave,2022-02-08,2022-03-02,22,Rejected
LEV000168,EMP000082,Compassionate Leave,2019-03-12,2019-04-03,22,Approved
LEV000169,EMP000082,Annual Leave,2025-10-21,2025-11-11,21,Approved
LEV000170,EMP000082,Compassionate Leave,2023-08-29,2023-08-23,6,Approved
LEV000171,EMP000083,Paternity Leave,2021-07-20,2021-08-01,12,Approved
LEV000172,EMP000083,Compassionate Leave,2020-01-07,2020-01-09,2,Approved
LEV000173,EMP000083,Study Leave,2019-06-14,2019-07-05,21,Approved
LEV000174,EMP000085,Maternity Leave,2020-12-27,2021-01-16,20,Approved
LEV000175,EMP000086,Sick Leave,2023-06-16,2023-06-30,14,Approved
LEV000176,EMP000086,Annual Leave,2023-05-31,2023-06-28,28,Rejected
LEV000177,EMP000086,Compassionate Leave,2021-11-21,2021-11-22,1,Pending
LEV000178,EMP000086,Study Leave,2024-08-16,2024-08-18,2,Pending
LEV000179,EMP000087,Paternity Leave,2021-04-30,2021-05-04,4,Approved
LEV000180,EMP000088,Sick Leave,2025-10-04,2025-10-13,9,Rejected
LEV000181,EMP000088,Study Leave,2023-10-01,2023-10-02,1,Approved
LEV000182,EMP000089,Compassionate Leave,2025-09-29,2025-10-04,5,Rejected
LEV000183,EMP000090,Compassionate Leave,2019-07-27,2019-07-30,3,Approved
LEV000184,EMP000090,Leave,2025-07-17,2025-07-22,5,Approved
LEV000185,EMP000091,Paternity Leave,2022-09-11,2022-10-09,28,Approved
LEV000186,EMP000091,Sick Leave,2021-11-30,2021-12-16,16,Pending
LEV000187,EMP000092,Compassionate Leave,2025-03-08,2025-03-30,22,Approved
LEV000188,EMP000093,Annual Leave,2021-06-01,2021-07-01,30,Approved
LEV000189,EMP000093,Annual Leave,2020-02-14,2020-03-02,17,Approved
LEV000190,EMP000094,Compassionate Leave,2024-02-25,2024-03-05,9,Approved
LEV000191,EMP000094,Sick Leave,2024-09-16,2024-10-15,29,Rejected
LEV000192,EMP000095,Sick Leave,2024-01-24,2024-02-14,21,Approved
LEV000193,EMP000096,Annual Leave,2024-07-15,2024-08-07,23,Rejected
LEV000194,EMP000096,Study Leave,2021-12-07,2021-12-31,24,Approved
LEV000195,EMP000096,Maternity Leave,2025-09-25,2025-09-28,3,Rejected
LEV000196,EMP000097,Annual Leave,2021-09-15,2021-10-06,21,Approved
LEV000197,EMP000098,Maternity Leave,2023-08-22,2023-08-30,8,Approved
LEV000198,EMP000098,Annual Leave,2023-04-21,2023-04-25,4,Rejected
LEV000199,EMP000099,Paternity Leave,2023-02-06,2023-02-10,4,Pending
LEV000200,EMP000099,Study Leave,2022-12-29,2023-01-28,30,Pending
LEV000201,EMP000099,Annual Leave,2023-11-16,2023-11-28,12,Rejected
LEV000202,EMP000099,Maternity Leave,2021-03-02,2021-03-08,6,Approved
LEV000203,EMP000100,Compassionate Leave,2023-03-14,2023-03-24,10,Approved
LEV000204,EMP000100,Paternity Leave,2019-12-15,2019-12-24,9,Rejected
LEV000205,EMP000100,Compassionate Leave,2022-05-08,2022-05-12,4,Rejected
LEV000206,EMP000100,Paternity Leave,2023-07-30,2023-08-09,10,Rejected
LEV000207,EMP000103,Sick Leave,2019-03-01,2019-03-03,2,Approved
LEV000208,EMP000104,Study Leave,2020-03-18,2020-04-04,17,Approved
LEV000209,EMP000104,Maternity Leave,2020-02-05,2020-03-02,26,Approved
LEV000210,EMP000104,Annual Leave,2019-02-06,2019-02-22,16,Approved
LEV000211,EMP000105,Paternity Leave,2022-11-04,2022-12-01,27,Approved
LEV000212,EMP000105,Compassionate Leave,2024-06-21,2024-06-28,7,Pending
LEV000213,EMP000105,Annual Leave,2023-10-25,2023-10-31,6,Approved
LEV000214,EMP000105,Study Leave,2025-05-28,2025-06-06,9,Approved
LEV000215,EMP000106,Maternity Leave,2020-12-23,2021-01-12,20,Approved
LEV000216,EMP000106,Maternity Leave,2025-10-14,2025-10-31,17,Approved
LEV000217,EMP000107,Study Leave,2019-09-20,2019-10-06,16,Pending
LEV000218,EMP000108,Maternity Leave,2021-04-28,2021-05-17,19,Approved
LEV000219,EMP000108,Annual Leave,2022-04-03,2022-04-22,19,Pending
LEV000220,EMP000109,Paternity Leave,2021-10-24,2021-10-26,2,Approved
LEV000221,EMP000109,Maternity Leave,2019-11-13,2019-11-22,9,Rejected
LEV000222,EMP000109,Compassionate Leave,2024-01-30,2024-02-08,9,Approved
LEV000223,EMP000109,Study Leave,2021-09-11,2021-09-20,9,Pending
LEV000224,EMP000110,Annual Leave,2025-12-05,2025-12-16,11,Rejected
LEV000225,EMP000111,Sick Leave,2019-02-11,2019-02-18,7,Approved
LEV000226,EMP000111,Compassionate Leave,2019-12-09,2019-12-25,16,Pending
LEV000227,EMP000112,Study Leave,2019-12-25,2020-01-06,12,Approved
LEV000228,EMP000112,Paternity Leave,2020-12-13,2020-12-29,16,Approved
LEV000229,EMP000113,Study Leave,2021-04-10,2021-05-01,21,Approved
LEV000230,EMP000113,Maternity Leave,2020-04-04,2020-04-14,10,Pending
LEV000231,EMP000114,Sick Leave,2023-08-10,2023-08-20,10,Approved
LEV000232,EMP000114,Sick Leave,2024-05-21,2024-06-07,17,Approved
LEV000233,EMP000115,Compassionate Leave,2021-10-19,2021-11-09,21,Rejected
LEV000234,EMP000115,Maternity Leave,2025-12-26,2026-01-12,17,Approved
LEV000235,EMP000119,Maternity Leave,2022-08-12,2022-08-16,4,Rejected
LEV000236,EMP000119,Sick Leave,2021-02-18,2021-02-24,6,Approved
LEV000237,EMP000120,Paternity Leave,2024-08-24,2024-09-05,12,Pending
LEV000238,EMP000120,Annual Leave,2024-08-05,2024-09-01,27,Approved
LEV000239,EMP000120,Study Leave,2025-08-02,2025-08-11,9,Pending
LEV000240,EMP000120,Maternity Leave,2022-10-14,2022-10-25,11,Rejected
LEV000241,EMP000121,Paternity Leave,2023-10-14,2023-10-25,11,Approved
LEV000242,EMP000122,Paternity Leave,2025-08-22,2025-09-11,20,Approved
LEV000243,EMP000122,Annual Leave,2019-03-18,2019-04-07,20,Rejected
LEV000244,EMP000122,Annual Leave,2021-05-18,2021-06-11,24,Approved
LEV000245,EMP000122,Paternity Leave,2025-03-06,2025-04-03,28,Approved
LEV000246,EMP000123,Annual Leave,2024-10-24,2024-11-12,19,Approved
LEV000247,EMP000123,Sick Leave,2022-11-11,2022-10-18,24,Approved
LEV000248,EMP000123,Annual Leave,2020-01-27,2020-02-25,29,Rejected
LEV000249,EMP000124,Sick Leave,2021-08-08,2021-08-15,7,Approved
LEV000250,EMP000124,Study Leave,2024-06-21,2024-07-05,14,Approved
LEV000251,EMP000124,Annual Leave,2019-03-01,2019-03-28,27,Pending
LEV000252,EMP000124,Sick Leave,2021-02-14,2021-03-04,18,Approved
LEV000253,EMP000125,,2019-06-21,2019-07-02,11,Approved
LEV000254,EMP000126,Paternity Leave,2023-02-20,2023-03-14,22,Approved
LEV000255,EMP000127,Sick Leave,2020-08-16,2020-09-05,20,Approved
LEV000256,EMP000127,Sick Leave,2022-04-10,2022-04-27,17,Pending
LEV000257,EMP000128,Annual Leave,2020-11-27,2020-12-01,4,Approved
LEV000258,EMP000128,Compassionate Leave,2025-08-09,2025-09-01,23,Pending
LEV000259,EMP000128,Paternity Leave,2024-12-10,2025-01-02,23,Approved
LEV000260,EMP000128,Study Leave,2022-06-19,2022-07-17,28,Approved
LEV000261,EMP000129,Sick Leave,2020-03-13,2020-03-21,8,Approved
LEV000262,EMP000129,Study Leave,2020-06-27,2020-06-30,3,Approved
LEV000263,EMP000131,Study Leave,2021-06-01,2021-06-20,19,Approved
LEV000264,EMP000131,Maternity Leave,2021-03-13,2021-04-07,25,Rejected
LEV000265,EMP000131,Study Leave,2023-12-20,2023-12-24,4,Rejected
LEV000266,EMP000133,Sick Leave,2023-04-13,2023-05-04,21,Rejected
LEV000267,EMP000134,Maternity Leave,2021-12-25,2022-01-23,29,Pending
LEV000268,EMP000135,Paternity Leave,2024-03-05,2024-03-19,14,Pending
LEV000269,EMP000135,Paternity Leave,2023-10-01,2023-10-22,21,Approved
LEV000270,EMP000135,Compassionate Leave,2020-05-07,2020-05-16,9,Approved
LEV000271,EMP000136,Paternity Leave,2021-01-28,2021-02-01,4,Rejected
LEV000272,EMP000136,Compassionate Leave,2025-11-15,2025-11-18,3,Approved
LEV000273,EMP000136,Compassionate Leave,2022-02-23,2022-03-03,8,Approved
LEV000274,EMP000139,Sick Leave,2025-08-11,2025-08-29,18,Pending
LEV000275,EMP000139,Maternity Leave,2024-06-11,2024-07-07,26,Approved
LEV000276,EMP000139,Sick Leave,2024-10-05,2024-10-14,9,Approved
LEV000277,EMP000140,Maternity Leave,2025-10-01,2025-10-23,22,Rejected
LEV000278,EMP000140,Sick Leave,2020-09-06,2020-10-04,28,Approved
LEV000279,EMP000140,Maternity Leave,2019-09-23,2019-10-21,28,Pending
LEV000280,EMP000140,Maternity Leave,2025-07-27,2025-07-30,3,Pending
LEV000281,EMP000141,UNKNOWN,2019-12-20,2019-12-28,8,Pending
LEV000282,EMP000142,Study Leave,2024-12-24,2025-01-13,20,Approved
LEV000283,EMP000142,Compassionate Leave,2024-04-27,2024-05-20,23,Approved
LEV000284,EMP000144,Maternity Leave,2022-11-28,2022-12-04,6,Approved
LEV000285,EMP000145,Annual Leave,2024-10-27,2024-11-19,23,Approved
LEV000286,EMP000145,Annual Leave,2025-11-14,2025-12-08,24,Rejected
LEV000287,EMP000146,Annual Leave,2021-09-02,2021-09-23,21,Rejected
LEV000288,EMP000146,Paternity Leave,2020-12-07,2020-12-10,3,Approved
LEV000289,EMP000146,Paternity Leave,2022-01-12,2022-01-24,12,Approved
LEV000290,EMP000147,Sick Leave,2022-11-09,2022-12-02,23,Approved
LEV000291,EMP000148,Compassionate Leave,2024-06-27,2024-07-08,-5,Approved
LEV000292,EMP000148,Maternity Leave,2023-04-04,2023-04-13,9,Approved
LEV000293,EMP000149,Annual Leave,2025-01-17,2025-02-01,15,Approved
LEV000294,EMP000149,Study Leave,2020-07-02,2020-07-23,21,Rejected
LEV000295,EMP000149,Maternity Leave,2023-01-05,2023-01-21,16,Approved
LEV000296,EMP000149,Compassionate Leave,2021-04-25,2021-05-01,6,Approved
LEV000297,EMP000150,Annual Leave,2021-06-07,2021-06-29,22,Approved
LEV000298,EMP000150,Maternity Leave,2025-12-11,2025-12-18,7,Approved
LEV000299,EMP000150,Study Leave,2023-03-10,2023-04-04,25,Approved
LEV000300,EMP000151,Maternity Leave,2023-10-07,2023-11-03,27,Rejected
LEV000301,EMP000151,Sick Leave,2025-05-08,2025-05-28,20,Rejected
LEV000302,EMP000151,Compassionate Leave,2025-01-18,2025-02-01,14,Rejected
LEV000303,EMP000152,Paternity Leave,2025-08-22,2025-08-30,8,Rejected
LEV000304,EMP000153,Study Leave,2019-01-03,2019-02-02,30,Pending
LEV000305,EMP000153,Paternity Leave,2020-04-03,2020-04-11,8,Approved
LEV000306,EMP000153,Compassionate Leave,2019-02-23,2019-03-04,9,Pending
LEV000307,EMP000154,Study Leave,2025-04-06,2025-04-30,24,Approved
LEV000308,EMP000155,Study Leave,2025-02-16,2025-03-03,15,Approved
LEV000309,EMP000156,Annual Leave,2024-04-10,2024-05-04,24,Pending
LEV000310,EMP000156,Paternity Leave,2019-09-29,2019-10-13,14,Approved
LEV000311,EMP000159,Annual Leave,2019-10-17,2019-11-12,26,Approved
LEV000312,EMP000159,Maternity Leave,2022-05-16,2022-05-19,3,Rejected
LEV000313,EMP000159,Maternity Leave,2025-05-06,2025-04-26,10,Approved
LEV000314,EMP000159,Sick Leave,2021-12-25,2022-01-21,27,Approved
LEV000315,EMP000160,Maternity Leave,2024-02-02,2024-02-27,25,Approved
LEV000316,EMP000160,Annual Leave,2021-01-04,2021-01-17,13,Approved
LEV000317,EMP000160,Maternity Leave,2019-12-15,2019-12-17,2,Approved
LEV000318,EMP000161,Compassionate Leave,2025-03-17,2025-04-03,17,Approved
LEV000319,EMP000161,Compassionate Leave,2022-10-09,2022-10-25,16,Approved
LEV000320,EMP000162,Maternity Leave,2020-05-02,2020-05-21,19,Approved
LEV000321,EMP000163,Sick Leave,2021-04-30,2021-05-09,9,Rejected
LEV000322,EMP000163,Maternity Leave,2025-10-21,2025-10-26,5,Rejected
LEV000323,EMP000163,Compassionate Leave,2024-04-10,2024-05-07,27,Rejected
LEV000324,EMP000164,Maternity Leave,2024-06-27,2024-07-13,16,Pending
LEV000325,EMP000164,Sick Leave,2022-12-03,2022-12-19,16,Approved
LEV000326,EMP000165,Paternity Leave,2019-03-31,2019-04-28,28,Approved
LEV000327,EMP000165,Sick Leave,2025-08-23,2025-09-16,24,Pending
LEV000328,EMP000166,Maternity Leave,2020-05-23,2020-05-29,6,Approved
LEV000329,EMP000166,Sick Leave,2021-06-04,2021-06-13,9,Approved
LEV000330,EMP000166,Study Leave,2023-06-29,2023-07-06,7,Pending
LEV000331,EMP000166,Compassionate Leave,2023-11-11,2023-11-29,18,Approved
LEV000332,EMP000167,Annual Leave,2022-02-20,2022-03-09,17,Approved
LEV000333,EMP000167,Annual Leave,2022-08-30,2022-09-26,27,Approved
LEV000334,EMP000167,Sick Leave,2021-02-12,2021-02-14,2,Approved
LEV000335,EMP000167,,2022-05-15,2022-06-04,20,Approved
LEV000336,EMP000168,Compassionate Leave,2023-11-02,2023-11-08,6,Approved
LEV000337,EMP000168,Maternity Leave,2019-08-14,2019-08-27,13,Approved
LEV000338,EMP000168,Sick Leave,2020-01-09,2020-01-10,1,Approved
LEV000339,EMP000168,Sick Leave,2024-12-14,2024-12-24,10,Rejected
LEV000340,EMP000169,Compassionate Leave,2025-09-18,2025-09-26,8,Approved
LEV000341,EMP000169,Study Leave,2022-01-23,2022-02-18,26,Approved
LEV000342,EMP000169,Sick Leave,2022-12-05,2022-12-21,16,Rejected
LEV000343,EMP000169,Compassionate Leave,2025-03-15,2025-04-09,25,Rejected
LEV000344,EMP000171,Paternity Leave,2019-04-16,2019-05-04,-5,Approved
LEV000345,EMP000171,Study Leave,2022-01-16,2022-01-26,10,Approved
LEV000346,EMP000171,Annual Leave,2020-12-25,2021-01-08,14,Rejected
LEV000347,EMP000172,Sick Leave,2021-07-12,2021-07-27,15,Rejected
LEV000348,EMP000172,Sick Leave,2023-10-05,2023-10-17,12,Approved
LEV000349,EMP000172,Study Leave,2021-06-08,2021-06-24,16,Pending
LEV000350,EMP000172,Sick Leave,2019-06-21,2019-07-20,29,Approved
LEV000351,EMP000173,Sick Leave,2025-09-27,2025-09-24,3,Approved
